configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,origin,attempt_path,status,validated,resource_limited,kA,kB,k,retained_A,retained_B,retained_total,solver_seconds,validation_seconds,warmup_seconds,total_seconds,peak_rss_mib,states,transitions,states_dequeued,completed_states_lower_bound,queue_size,chain_graphs_completed,graph_entered,solution_route,solver_optimality_claim,validation_status,limiting_phase,coupling_distance,coupling_feasible,raw_checkpoint_sha256,validation_proves_optimality,applicable_internal_seconds,effective_chain_cap,raw_status,supervisor_status,failure_reason,solver_time_kind,termination_reason,raw_kA,raw_kB,raw_k,observation_cohort,eligible,blocked_reason,reuse_path
protein:1o7j.a__2zsk.a:a0.5|Independent continuous,21,protein,1o7j.a__2zsk.a,22,16,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__2zsk.a.npz,3ec5446d75ccd9c280f57f8b26a0d1cc98e8d224da5d5fa3a122540eb7aff2e1,Independent continuous,0.5,9.476499139682725,9.562652144987151,41.96523997114909,new,output\paper_v1\coverage_extension\slots\21\attempts\coverage21_d77ce56d9d464dd9b904b06961091e99,validated,True,False,16.0,11.0,16.0,0.7272727272727273,0.6875,0.7105263157894737,0.00870589999249205,0.0022687999880872667,10.701494100008858,11.48271099998965,211.76953125,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,44.178362879705894,False,87ee240c1d1dea3565cc5267f269e49bbb17cb9cac3b6dec988d5b41f6481d42,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,16.0,11.0,16.0,coverage_extension single observation,,,
protein:1o7j.a__2zsk.a:a0.5|Independent discrete,22,protein,1o7j.a__2zsk.a,22,16,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__2zsk.a.npz,3ec5446d75ccd9c280f57f8b26a0d1cc98e8d224da5d5fa3a122540eb7aff2e1,Independent discrete,0.5,9.476499139682725,9.562652144987151,41.96523997114909,new,output\paper_v1\coverage_extension\slots\22\attempts\coverage22_25844e86d83b4e1586207da24869d039,validated,True,False,20.0,15.0,20.0,0.9090909090909091,0.9375,0.9210526315789473,0.005669599981047213,0.002195000008214265,6.915168500010623,7.628342200012412,193.796875,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,39.21434715290972,True,1e8bcc5b365ea85be1fb133f3d054fda56fca852d142226c74b52d9a73c557ce,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,20.0,15.0,20.0,coverage_extension single observation,,,
protein:1o7j.a__2zsk.a:a0.5|CPS-2F,23,protein,1o7j.a__2zsk.a,22,16,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__2zsk.a.npz,3ec5446d75ccd9c280f57f8b26a0d1cc98e8d224da5d5fa3a122540eb7aff2e1,CPS-2F,0.5,9.476499139682725,9.562652144987151,41.96523997114909,new,output\paper_v1\coverage_extension\slots\23\attempts\coverage23_53501d6800ad40f29d6023390210ffa3,validated,True,False,16.0,13.0,16.0,0.7272727272727273,0.8125,0.7631578947368421,1.8024426999909338,0.002578099985839799,10.211810599983437,12.689488999982132,223.8203125,10795.0,1512919.0,10795.0,10794.0,0.0,2.0,True,configuration_graph,True,validated,,39.21434715290972,True,2abde2206c664cd689e5b21ccf05b63a04ef5ffaebac7047f7ba35b0d752d708,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,16.0,13.0,16.0,coverage_extension single observation,,,
protein:1o7j.a__2zsk.a:a0.5|CPS-3F,24,protein,1o7j.a__2zsk.a,22,16,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__2zsk.a.npz,3ec5446d75ccd9c280f57f8b26a0d1cc98e8d224da5d5fa3a122540eb7aff2e1,CPS-3F,0.5,9.476499139682725,9.562652144987151,41.96523997114909,new,output\paper_v1\coverage_extension\slots\24\attempts\coverage24_d75f107610ba40c2b62cf918565a8972,validated,True,False,20.0,15.0,20.0,0.9090909090909091,0.9375,0.9210526315789473,0.03969550001784228,0.006233899999642745,7.512175300013041,8.275946200010367,195.37109375,389.0,1470.0,389.0,388.0,0.0,2.0,True,configuration_graph,True,validated,,39.21434715290972,True,bf4715727d5f0ed55f7bd33056d1a5a87ef9428aaf5f3cf54035945dd9d23478,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,20.0,15.0,20.0,coverage_extension single observation,,,
protein:1o7j.a__1zq1.a:a0.5|Independent continuous,25,protein,1o7j.a__1zq1.a,22,29,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__1zq1.a.npz,abe5c9f23d524064337134c626eec6262dc0d76df4df10beebde2cb83a9c1b33,Independent continuous,0.5,9.476499139682725,10.188327180988399,61.13431499102384,new,output\paper_v1\coverage_extension\slots\25\attempts\coverage25_1a1925f405bb4047a6a2670861c40e3b,validated,True,False,16.0,22.0,22.0,0.7272727272727273,0.7586206896551724,0.7450980392156863,0.028084899997338653,0.007061000011162832,16.135010500001954,17.25422739997157,211.48828125,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,61.13431499102384,True,0653762aa7aa68ac14eadb47ab67d921bce7b7bab57be5fbd0b17a4db0a4741b,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,16.0,22.0,22.0,coverage_extension single observation,,,
protein:1o7j.a__1zq1.a:a0.5|Independent discrete,26,protein,1o7j.a__1zq1.a,22,29,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__1zq1.a.npz,abe5c9f23d524064337134c626eec6262dc0d76df4df10beebde2cb83a9c1b33,Independent discrete,0.5,9.476499139682725,10.188327180988399,61.13431499102384,new,output\paper_v1\coverage_extension\slots\26\attempts\coverage26_a307706a595c449f84beeaac5092d625,validated,True,False,20.0,24.0,24.0,0.9090909090909091,0.8275862068965517,0.8627450980392157,0.007535200013080612,0.004356399993412197,7.586721500003478,8.297316499985754,194.16796875,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,61.13431499102384,True,71627fc3fe5251b10ab6a46acd1a922c6ba4d89178311b8625277bf797b9de24,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,20.0,24.0,24.0,coverage_extension single observation,,,
protein:1o7j.a__1zq1.a:a0.5|CPS-2F,27,protein,1o7j.a__1zq1.a,22,29,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__1zq1.a.npz,abe5c9f23d524064337134c626eec6262dc0d76df4df10beebde2cb83a9c1b33,CPS-2F,0.5,9.476499139682725,10.188327180988399,61.13431499102384,new,output\paper_v1\coverage_extension\slots\27\attempts\coverage27_cbb21cb995de4210aef66e964765c41a,validated,True,False,16.0,22.0,22.0,0.7272727272727273,0.7586206896551724,0.7450980392156863,7.331217999977525,0.006026799994288012,10.551974900008645,18.650404800020624,236.57421875,27689.0,5398861.0,27689.0,27688.0,0.0,2.0,True,configuration_graph,True,validated,,61.13431499102384,True,f0e5198fc616c3d49d376f70ae180498bade30f1b35d667c6fc40059d85f430b,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,16.0,22.0,22.0,coverage_extension single observation,,,
protein:1o7j.a__1zq1.a:a0.5|CPS-3F,28,protein,1o7j.a__1zq1.a,22,29,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__1zq1.a.npz,abe5c9f23d524064337134c626eec6262dc0d76df4df10beebde2cb83a9c1b33,CPS-3F,0.5,9.476499139682725,10.188327180988399,61.13431499102384,new,output\paper_v1\coverage_extension\slots\28\attempts\coverage28_6a4c4e4d17944c9aa27d9c60ad70176d,validated,True,False,20.0,24.0,24.0,0.9090909090909091,0.8275862068965517,0.8627450980392157,0.03397129999939352,0.0032147000019904226,6.5854841000109445,7.33985930000199,195.02734375,1039.0,5165.0,1039.0,1038.0,0.0,2.0,True,configuration_graph,True,validated,,61.13431499102384,True,3776858703d112de228e7fac0d2c125c445db41a069e4e0cb6d8a061f7f57a46,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,20.0,24.0,24.0,coverage_extension single observation,,,
protein:1o7j.a__3jq0.a:a0.5|Independent continuous,29,protein,1o7j.a__3jq0.a,22,31,angstrom,,,Independent continuous,0.5,,,,blocked,,preparation_blocked,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preparation_blocked,,,,coverage_extension single observation,False,Internal chain break(s); no existing uncropped whole-chain gap-handling policy. Existing preparation splits fragments; cropping/bridging not introduced.,
protein:1o7j.a__3jq0.a:a0.5|Independent discrete,30,protein,1o7j.a__3jq0.a,22,31,angstrom,,,Independent discrete,0.5,,,,blocked,,preparation_blocked,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preparation_blocked,,,,coverage_extension single observation,False,Internal chain break(s); no existing uncropped whole-chain gap-handling policy. Existing preparation splits fragments; cropping/bridging not introduced.,
