configuration_id,domain,pair,alpha,method,status,observed,finite_upper_bound,percent_of_bound,search_completed,construction_completed,count_scope,formula,source
hurricane:AL182011__AL061926:a0.5|CPS-2F,hurricane,AL182011__AL061926,0.5,CPS-2F,validated,9162.0,2264939577.0,0.00040451410240865775,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL182011__AL061926:a0.5|CPS-3F,hurricane,AL182011__AL061926,0.5,CPS-3F,validated,665.0,700569.0,0.09492284129043678,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP141997__EP092000:a0.5|CPS-2F,hurricane,EP141997__EP092000,0.5,CPS-2F,validated,3417.0,2371967500.0,0.0001440576230492197,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP141997__EP092000:a0.5|CPS-3F,hurricane,EP141997__EP092000,0.5,CPS-3F,validated,281.0,722500.0,0.03889273356401384,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP211990__EP152008:a0.5|CPS-2F,hurricane,EP211990__EP152008,0.5,CPS-2F,validated,2749.0,3733750800.0,7.362569564096244e-05,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP211990__EP152008:a0.5|CPS-3F,hurricane,EP211990__EP152008,0.5,CPS-3F,validated,202.0,976144.0,0.020693668147322528,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP041981__EP211992:a0.5|CPS-2F,hurricane,EP041981__EP211992,0.5,CPS-2F,validated,3810.0,3871000000.0,9.842417979850168e-05,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP041981__EP211992:a0.5|CPS-3F,hurricane,EP041981__EP211992,0.5,CPS-3F,validated,260.0,1000000.0,0.026,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL181887__AL091888:a0.5|CPS-2F,hurricane,AL181887__AL091888,0.5,CPS-2F,validated,8659.0,17934139392.0,4.8282216451727686e-05,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL181887__AL091888:a0.5|CPS-3F,hurricane,AL181887__AL091888,0.5,CPS-3F,validated,508.0,2768896.0,0.018346662352071007,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
