configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,base_configuration_id,repetition,block_id,reuse_path
hurricane:AL072006__AL011900:a0.5|CPS-3F|repetition1,36,hurricane,AL072006__AL011900,62,81,projected km,output\paper_v1\expanded_comparison\inputs\hurricane_AL072006__AL011900.npz,d1c7ae57c312b1c5a78b6a809f85412f79e79e9cffd6209bda018544b7cd301f,CPS-3F,0.5,83.40813893161072,81.15849951823131,2969.784643498885,hurricane:AL072006__AL011900:a0.5|CPS-3F,1,r1:AL072006__AL011900,
hurricane:EP012014__EP212006:a0.5|Independent continuous|repetition1,37,hurricane,EP012014__EP212006,30,29,projected km,output\paper_v1\expanded_comparison\inputs\hurricane_EP012014__EP212006.npz,b1ea8828119b71374fb3be9b07b5e3d7cd5ed7f81701351d279a01dd32677ddf,Independent continuous,0.5,22.088133009069068,20.773394823842597,628.8969388779135,hurricane:EP012014__EP212006:a0.5|Independent continuous,1,r1:EP012014__EP212006,
hurricane:EP012014__EP212006:a0.5|Independent discrete|repetition1,38,hurricane,EP012014__EP212006,30,29,projected km,output\paper_v1\expanded_comparison\inputs\hurricane_EP012014__EP212006.npz,b1ea8828119b71374fb3be9b07b5e3d7cd5ed7f81701351d279a01dd32677ddf,Independent discrete,0.5,22.088133009069068,20.773394823842597,628.8969388779135,hurricane:EP012014__EP212006:a0.5|Independent discrete,1,r1:EP012014__EP212006,
hurricane:EP012014__EP212006:a0.5|CPS-2F|repetition1,39,hurricane,EP012014__EP212006,30,29,projected km,output\paper_v1\expanded_comparison\inputs\hurricane_EP012014__EP212006.npz,b1ea8828119b71374fb3be9b07b5e3d7cd5ed7f81701351d279a01dd32677ddf,CPS-2F,0.5,22.088133009069068,20.773394823842597,628.8969388779135,hurricane:EP012014__EP212006:a0.5|CPS-2F,1,r1:EP012014__EP212006,
hurricane:EP012014__EP212006:a0.5|CPS-3F|repetition1,40,hurricane,EP012014__EP212006,30,29,projected km,output\paper_v1\expanded_comparison\inputs\hurricane_EP012014__EP212006.npz,b1ea8828119b71374fb3be9b07b5e3d7cd5ed7f81701351d279a01dd32677ddf,CPS-3F,0.5,22.088133009069068,20.773394823842597,628.8969388779135,hurricane:EP012014__EP212006:a0.5|CPS-3F,1,r1:EP012014__EP212006,
hurricane:AL031854__AL011991:a0.5|Independent discrete|repetition2,41,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,Independent discrete,0.5,85.27599670409697,82.01596010094092,426.1842176844774,hurricane:AL031854__AL011991:a0.5|Independent discrete,2,r2:AL031854__AL011991,
hurricane:AL031854__AL011991:a0.5|CPS-2F|repetition2,42,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,CPS-2F,0.5,85.27599670409697,82.01596010094092,426.1842176844774,hurricane:AL031854__AL011991:a0.5|CPS-2F,2,r2:AL031854__AL011991,
hurricane:AL031854__AL011991:a0.5|CPS-3F|repetition2,43,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,CPS-3F,0.5,85.27599670409697,82.01596010094092,426.1842176844774,hurricane:AL031854__AL011991:a0.5|CPS-3F,2,r2:AL031854__AL011991,
hurricane:AL031854__AL011991:a0.5|Independent continuous|repetition2,44,hurricane,AL031854__AL011991,25,25,projected km,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,Independent continuous,0.5,85.27599670409697,82.01596010094092,426.1842176844774,hurricane:AL031854__AL011991:a0.5|Independent continuous,2,r2:AL031854__AL011991,
hurricane:EP021949__EP031949:a0.5|Independent discrete|repetition2,45,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,Independent discrete,0.5,40.25507378715167,36.48157080151773,565.3421428246969,hurricane:EP021949__EP031949:a0.5|Independent discrete,2,r2:EP021949__EP031949,
hurricane:EP021949__EP031949:a0.5|CPS-2F|repetition2,46,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,CPS-2F,0.5,40.25507378715167,36.48157080151773,565.3421428246969,hurricane:EP021949__EP031949:a0.5|CPS-2F,2,r2:EP021949__EP031949,
hurricane:EP021949__EP031949:a0.5|CPS-3F|repetition2,47,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,CPS-3F,0.5,40.25507378715167,36.48157080151773,565.3421428246969,hurricane:EP021949__EP031949:a0.5|CPS-3F,2,r2:EP021949__EP031949,
hurricane:EP021949__EP031949:a0.5|Independent continuous|repetition2,48,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,Independent continuous,0.5,40.25507378715167,36.48157080151773,565.3421428246969,hurricane:EP021949__EP031949:a0.5|Independent continuous,2,r2:EP021949__EP031949,
protein:1o7j.a__1d9q.d:a0.5|Independent discrete|repetition2,49,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,Independent discrete,0.5,9.476499139682725,10.101752088004297,47.96448297438429,protein:1o7j.a__1d9q.d:a0.5|Independent discrete,2,r2:1o7j.a__1d9q.d,
protein:1o7j.a__1d9q.d:a0.5|CPS-2F|repetition2,50,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,CPS-2F,0.5,9.476499139682725,10.101752088004297,47.96448297438429,protein:1o7j.a__1d9q.d:a0.5|CPS-2F,2,r2:1o7j.a__1d9q.d,
