configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,origin,attempt_path,status,validated,resource_limited,kA,kB,k,retained_A,retained_B,retained_total,solver_seconds,validation_seconds,warmup_seconds,total_seconds,peak_rss_mib,states,transitions,states_dequeued,completed_states_lower_bound,queue_size,chain_graphs_completed,graph_entered,solution_route,solver_optimality_claim,validation_status,limiting_phase,coupling_distance,coupling_feasible,raw_checkpoint_sha256,validation_proves_optimality,applicable_internal_seconds,effective_chain_cap,raw_status,supervisor_status,failure_reason,solver_time_kind,termination_reason,raw_kA,raw_kB,raw_k,observation_cohort
hurricane:AL171980__AL112009:a0.5|Independent continuous,49,hurricane,AL171980__AL112009,25,31,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_AL171980__AL112009.npz,5de1fe8932de570845156bf23d5f0b282c1e5938a22df37324c8f517a6fe250f,Independent continuous,0.5,46.16236679818303,45.7059501167157,581.976309646647,new,output\paper_v1\hurricane_final_20\slots\49\attempts\final20_49_08a4e1c1718046018d829bbf67b74f8d,validated,True,False,6.0,6.0,6.0,0.24,0.1935483870967742,0.21428571428571427,0.014490700006717816,0.0013949999993201345,8.404902999987826,9.07932270001038,212.23828125,,,0,0,,0,False,independent_optimization,True,validated,,604.897441504401,False,906f2ef1b32866afcdfbb1d0b7612ecf8029eb437877eed6781e4e75504f01c9,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,6.0,6.0,6.0,hurricane_final_20 single observation
hurricane:AL171980__AL112009:a0.5|Independent discrete,50,hurricane,AL171980__AL112009,25,31,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_AL171980__AL112009.npz,5de1fe8932de570845156bf23d5f0b282c1e5938a22df37324c8f517a6fe250f,Independent discrete,0.5,46.16236679818303,45.7059501167157,581.976309646647,new,output\paper_v1\hurricane_final_20\slots\50\attempts\final20_50_a4383118ca454e09b67c5cf1cc90a664,validated,True,False,25.0,28.0,28.0,1.0,0.9032258064516129,0.9464285714285714,0.006229099992197007,0.005319199990481138,6.159655299998121,7.003501800005324,194.40625,,,0,0,,0,False,independent_optimization,True,validated,,567.4684502395265,True,bdcea81e1b98f678c66a969df887684662f267ba0ce80a2e627af76be9ef0ab4,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,25.0,28.0,28.0,hurricane_final_20 single observation
hurricane:AL171980__AL112009:a0.5|CPS-2F,51,hurricane,AL171980__AL112009,25,31,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_AL171980__AL112009.npz,5de1fe8932de570845156bf23d5f0b282c1e5938a22df37324c8f517a6fe250f,CPS-2F,0.5,46.16236679818303,45.7059501167157,581.976309646647,new,output\paper_v1\hurricane_final_20\slots\51\attempts\final20_51_14a139201f594820b2f7e7b3059dcaad,validated,True,False,7.0,6.0,7.0,0.28,0.1935483870967742,0.23214285714285715,2.9894712999812327,0.001117600011639297,9.66789709997829,13.308344999997644,224.015625,4509.0,2370136.0,4509,4508,0.0,2,True,configuration_graph,True,validated,,581.976309646647,True,5a2109b61c8a85b11c40c217f012a5f341bb3a600b660c5b64f6c94281e758c3,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,7.0,6.0,7.0,hurricane_final_20 single observation
hurricane:AL171980__AL112009:a0.5|CPS-3F,52,hurricane,AL171980__AL112009,25,31,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_AL171980__AL112009.npz,5de1fe8932de570845156bf23d5f0b282c1e5938a22df37324c8f517a6fe250f,CPS-3F,0.5,46.16236679818303,45.7059501167157,581.976309646647,new,output\paper_v1\hurricane_final_20\slots\52\attempts\final20_52_b4f045f5d8844464bd2f0bcf54eea3e8,validated,True,False,25.0,28.0,28.0,1.0,0.9032258064516129,0.9464285714285714,0.02983970000059344,0.0048716000164859,6.087768800003687,6.7238725000061095,194.984375,270.0,795.0,270,269,0.0,2,True,configuration_graph,True,validated,,567.4684502395265,True,fc04c819ed92b61865727762ebd2eae52591645a9b1068e0ca2728cd1a9c5b4f,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,25.0,28.0,28.0,hurricane_final_20 single observation
hurricane:AL102008__AL061989:a0.5|Independent discrete,53,hurricane,AL102008__AL061989,33,36,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_AL102008__AL061989.npz,03522b5f4b1b9d80013b557a1f4bb0e1c36cd495e0a8eba67de65ca6b2db84e8,Independent discrete,0.5,55.4905898744148,66.59347000338767,700.5236944883802,new,output\paper_v1\hurricane_final_20\slots\53\attempts\final20_53_8b318395eeb046589e99724d910e5bb1,validated,True,False,32.0,28.0,32.0,0.9696969696969697,0.7777777777777778,0.8695652173913043,0.008482600009301677,0.006322900007944554,6.139439599995967,6.807865100010531,194.234375,,,0,0,,0,False,independent_optimization,True,validated,,646.791622710143,True,5d0cbaba5b4469900b1ab29bf16bb752858580862ea5085fa3bd6238c78be341,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,32.0,28.0,32.0,hurricane_final_20 single observation
hurricane:AL102008__AL061989:a0.5|CPS-2F,54,hurricane,AL102008__AL061989,33,36,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_AL102008__AL061989.npz,03522b5f4b1b9d80013b557a1f4bb0e1c36cd495e0a8eba67de65ca6b2db84e8,CPS-2F,0.5,55.4905898744148,66.59347000338767,700.5236944883802,new,output\paper_v1\hurricane_final_20\slots\54\attempts\final20_54_5781486474d142eca33fd1ac3ecba66e,validated,True,False,4.0,5.0,5.0,0.12121212121212122,0.1388888888888889,0.13043478260869565,4.283125599991763,0.0012984999921172857,17.70065060001798,23.113295599992853,226.5,3833.0,1865958.0,3833,3832,0.0,2,True,configuration_graph,True,validated,,658.8924374865827,True,967d45ea6afc16f59ad04c7a46416d7fdd7e7f0492ae96475c0383dd61abcb68,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,4.0,5.0,5.0,hurricane_final_20 single observation
hurricane:AL102008__AL061989:a0.5|CPS-3F,55,hurricane,AL102008__AL061989,33,36,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_AL102008__AL061989.npz,03522b5f4b1b9d80013b557a1f4bb0e1c36cd495e0a8eba67de65ca6b2db84e8,CPS-3F,0.5,55.4905898744148,66.59347000338767,700.5236944883802,new,output\paper_v1\hurricane_final_20\slots\55\attempts\final20_55_f8e5c012d43b42c6bfe76bb8c06d1308,validated,True,False,32.0,28.0,32.0,0.9696969696969697,0.7777777777777778,0.8695652173913043,0.038276400009635836,0.005106900003738701,6.2152965999848675,6.9277924000052735,194.33203125,321.0,1202.0,321,320,0.0,2,True,configuration_graph,True,validated,,646.791622710143,True,4b2bad8f869c48e972baad76e8ef958e189f00e69a2f286991ce6b3151022ca3,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,32.0,28.0,32.0,hurricane_final_20 single observation
hurricane:AL102008__AL061989:a0.5|Independent continuous,56,hurricane,AL102008__AL061989,33,36,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_AL102008__AL061989.npz,03522b5f4b1b9d80013b557a1f4bb0e1c36cd495e0a8eba67de65ca6b2db84e8,Independent continuous,0.5,55.4905898744148,66.59347000338767,700.5236944883802,new,output\paper_v1\hurricane_final_20\slots\56\attempts\final20_56_30668bb6fe404f53a66ffcf1cd0974e1,validated,True,False,4.0,5.0,5.0,0.12121212121212122,0.1388888888888889,0.13043478260869565,0.022386199998436496,0.0009910000080708414,19.212043899984565,21.326440599979833,211.76953125,,,0,0,,0,False,independent_optimization,True,validated,,658.8924374865827,True,91fe5cf0e9e666e103b3f02c7e07a3d02d3e6cb0a3338d5711bb1ecd0d297b65,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,4.0,5.0,5.0,hurricane_final_20 single observation
hurricane:EP102002__EP042014:a0.5|CPS-2F,57,hurricane,EP102002__EP042014,31,42,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP102002__EP042014.npz,c7e12ce495215ad4ea07cd2563504d9596457095f47999d9c2f0a69fe0758f68,CPS-2F,0.5,45.982674841101485,33.04288866454094,408.6856459982538,new,output\paper_v1\hurricane_final_20\slots\57\attempts\final20_57_3b593e011f1945c8b0d3ed5a26fd0127,validated,True,False,5.0,5.0,5.0,0.16129032258064516,0.11904761904761904,0.136986301369863,9.175453900010325,0.001038899994455278,9.29830380002386,19.12705830001505,233.8828125,5120.0,4028404.0,5120,5119,0.0,2,True,configuration_graph,True,validated,,403.000534714608,True,0105b27332a2cad7422f831c7877c38821d383f77faee19e842569f1a1af88d7,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,5.0,5.0,5.0,hurricane_final_20 single observation
hurricane:EP102002__EP042014:a0.5|CPS-3F,58,hurricane,EP102002__EP042014,31,42,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP102002__EP042014.npz,c7e12ce495215ad4ea07cd2563504d9596457095f47999d9c2f0a69fe0758f68,CPS-3F,0.5,45.982674841101485,33.04288866454094,408.6856459982538,new,output\paper_v1\hurricane_final_20\slots\58\attempts\final20_58_ea2ce80db7c94079a2cb369e959559f5,validated,True,False,29.0,32.0,32.0,0.9354838709677419,0.7619047619047619,0.8356164383561644,0.039407200005371124,0.0057487000012770295,6.252010899974266,6.9771976999763865,195.26171875,487.0,3100.0,487,486,0.0,2,True,configuration_graph,True,validated,,408.6856459982538,True,4f41ef9aef3ce3aa0710bd4e9fc196099c030b40830e422456cd5517d5753899,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,29.0,32.0,32.0,hurricane_final_20 single observation
hurricane:EP102002__EP042014:a0.5|Independent continuous,59,hurricane,EP102002__EP042014,31,42,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP102002__EP042014.npz,c7e12ce495215ad4ea07cd2563504d9596457095f47999d9c2f0a69fe0758f68,Independent continuous,0.5,45.982674841101485,33.04288866454094,408.6856459982538,new,output\paper_v1\hurricane_final_20\slots\59\attempts\final20_59_c16322178b4f407d8f119718c8734830,validated,True,False,5.0,5.0,5.0,0.16129032258064516,0.11904761904761904,0.136986301369863,0.025266999989980832,0.001032100000884384,8.416472299984889,9.113569000008283,211.12109375,,,0,0,,0,False,independent_optimization,True,validated,,490.0162107783782,False,a50c4a19f4f54a3a31d54a111227ca531c1c5df162fffca681680b0f7d301af7,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,5.0,5.0,5.0,hurricane_final_20 single observation
hurricane:EP102002__EP042014:a0.5|Independent discrete,60,hurricane,EP102002__EP042014,31,42,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP102002__EP042014.npz,c7e12ce495215ad4ea07cd2563504d9596457095f47999d9c2f0a69fe0758f68,Independent discrete,0.5,45.982674841101485,33.04288866454094,408.6856459982538,new,output\paper_v1\hurricane_final_20\slots\60\attempts\final20_60_cec96105783145718039ee5868a75078,validated,True,False,29.0,32.0,32.0,0.9354838709677419,0.7619047619047619,0.8356164383561644,0.007113599975127727,0.00713980000000447,6.097605000017211,6.772223699983442,194.015625,,,0,0,,0,False,independent_optimization,True,validated,,408.6856459982538,True,ea0d336367024369f3846318c8a47ab27573bb4756b08e3b5abc3c3e5dbe7413,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,29.0,32.0,32.0,hurricane_final_20 single observation
hurricane:EP032000__EP041975:a0.5|CPS-3F,61,hurricane,EP032000__EP041975,27,41,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP032000__EP041975.npz,4f61048028e7f2e99bbb36e29c5c6f0bd6dad7d99299932738a2ec913d7ea67a,CPS-3F,0.5,54.744544807367404,42.88395494751405,654.008303422923,new,output\paper_v1\hurricane_final_20\slots\61\attempts\final20_61_4070de11bcbf480b88acbf4063e461e3,validated,True,False,27.0,34.0,34.0,1.0,0.8292682926829268,0.8970588235294118,0.035960799985332415,0.005834900017362088,6.197687400010182,6.910101899993606,195.16015625,449.0,2006.0,449,448,0.0,2,True,configuration_graph,True,validated,,654.008303422923,True,3ca89b40d62dbca4cead2b6fa6bb8d251a7e6ba47fb2991f5032423c260a1e88,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,27.0,34.0,34.0,hurricane_final_20 single observation
hurricane:EP032000__EP041975:a0.5|Independent continuous,62,hurricane,EP032000__EP041975,27,41,projected km,output\paper_v1\hurricane_final_20\inputs\hurricane_EP032000__EP041975.npz,4f61048028e7f2e99bbb36e29c5c6f0bd6dad7d99299932738a2ec913d7ea67a,Independent continuous,0.5,54.744544807367404,42.88395494751405,654.008303422923,new,output\paper_v1\hurricane_final_20\slots\62\attempts\final20_62_d9a1a067bb774a53933e28812954c0c6,validated,True,False,3.0,8.0,8.0,0.1111111111111111,0.1951219512195122,0.16176470588235295,0.02421549998689443,0.0015838000108487904,8.496429399994668,9.209856599976774,212.04296875,,,0,0,,0,False,independent_optimization,True,validated,,899.5554158702674,False,c2a707fbad1bef94891a178ce8b47b44fc0876ca9c283129c546f307805eaddd,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,3.0,8.0,8.0,hurricane_final_20 single observation
