pair,individuals,domain,basin,nA,nB,eligible,exclusion_reason
EP131974__EP171987,"['EP131974', 'EP171987']",hurricane,pacific,27,27,True,
EP131974__EP182014,"['EP131974', 'EP182014']",hurricane,pacific,27,36,True,
EP131982__EP071992,"['EP131982', 'EP071992']",hurricane,pacific,32,42,True,
EP131983__EP052015,"['EP131983', 'EP052015']",hurricane,pacific,34,45,True,
EP131983__EP062012,"['EP131983', 'EP062012']",hurricane,pacific,34,40,True,
EP131983__EP071972,"['EP131983', 'EP071972']",hurricane,pacific,34,37,True,
EP131983__EP091991,"['EP131983', 'EP091991']",hurricane,pacific,34,26,True,
EP131983__EP101989,"['EP131983', 'EP101989']",hurricane,pacific,34,27,True,
EP131983__EP181989,"['EP131983', 'EP181989']",hurricane,pacific,34,33,True,
EP131983__EP191985,"['EP131983', 'EP191985']",hurricane,pacific,34,37,True,
EP131985__EP032004,"['EP131985', 'EP032004']",hurricane,pacific,29,28,True,
EP131985__EP041979,"['EP131985', 'EP041979']",hurricane,pacific,29,27,True,
EP131985__EP042014,"['EP131985', 'EP042014']",hurricane,pacific,29,42,True,
EP131985__EP051952,"['EP131985', 'EP051952']",hurricane,pacific,29,29,True,
EP131985__EP061992,"['EP131985', 'EP061992']",hurricane,pacific,29,34,True,
EP131985__EP071990,"['EP131985', 'EP071990']",hurricane,pacific,29,28,True,
EP131985__EP081967,"['EP131985', 'EP081967']",hurricane,pacific,29,25,True,
EP131985__EP081998,"['EP131985', 'EP081998']",hurricane,pacific,29,26,True,
EP131985__EP091995,"['EP131985', 'EP091995']",hurricane,pacific,29,29,True,
EP131985__EP092002,"['EP131985', 'EP092002']",hurricane,pacific,29,26,True,
EP131985__EP101968,"['EP131985', 'EP101968']",hurricane,pacific,29,29,True,
EP131985__EP101980,"['EP131985', 'EP101980']",hurricane,pacific,29,26,True,
EP131985__EP102002,"['EP131985', 'EP102002']",hurricane,pacific,29,31,True,
EP131985__EP141997,"['EP131985', 'EP141997']",hurricane,pacific,29,34,True,
EP131985__EP151985,"['EP131985', 'EP151985']",hurricane,pacific,29,38,True,
EP131985__EP211992,"['EP131985', 'EP211992']",hurricane,pacific,29,40,True,
EP131986__EP112004,"['EP131986', 'EP112004']",hurricane,pacific,28,44,True,
EP131987__EP031984,"['EP131987', 'EP031984']",hurricane,pacific,29,36,True,
EP131987__EP042002,"['EP131987', 'EP042002']",hurricane,pacific,29,30,True,
EP131987__EP081995,"['EP131987', 'EP081995']",hurricane,pacific,29,28,True,
EP131987__EP092011,"['EP131987', 'EP092011']",hurricane,pacific,29,50,True,
EP131987__EP101990,"['EP131987', 'EP101990']",hurricane,pacific,29,38,True,
EP131987__EP112004,"['EP131987', 'EP112004']",hurricane,pacific,29,44,True,
EP131987__EP152001,"['EP131987', 'EP152001']",hurricane,pacific,29,31,True,
EP131987__EP231990,"['EP131987', 'EP231990']",hurricane,pacific,29,67,True,
EP131990__EP031991,"['EP131990', 'EP031991']",hurricane,pacific,32,45,True,
EP131990__EP041978,"['EP131990', 'EP041978']",hurricane,pacific,32,29,True,
EP131990__EP051968,"['EP131990', 'EP051968']",hurricane,pacific,32,33,True,
EP131990__EP052011,"['EP131990', 'EP052011']",hurricane,pacific,32,44,True,
EP131990__EP081976,"['EP131990', 'EP081976']",hurricane,pacific,32,31,True,
EP131990__EP081991,"['EP131990', 'EP081991']",hurricane,pacific,32,28,True,
EP131990__EP082008,"['EP131990', 'EP082008']",hurricane,pacific,32,40,True,
EP131990__EP091998,"['EP131990', 'EP091998']",hurricane,pacific,32,40,True,
EP131990__EP092012,"['EP131990', 'EP092012']",hurricane,pacific,32,47,True,
EP131990__EP121989,"['EP131990', 'EP121989']",hurricane,pacific,32,45,True,
EP131990__EP151990,"['EP131990', 'EP151990']",hurricane,pacific,32,36,True,
EP131990__EP181985,"['EP131990', 'EP181985']",hurricane,pacific,32,46,True,
EP131994__EP061988,"['EP131994', 'EP061988']",hurricane,pacific,30,49,True,
EP131994__EP081999,"['EP131994', 'EP081999']",hurricane,pacific,30,39,True,
EP131994__EP092007,"['EP131994', 'EP092007']",hurricane,pacific,30,32,True,
EP131994__EP101978,"['EP131994', 'EP101978']",hurricane,pacific,30,50,True,
EP131994__EP161990,"['EP131994', 'EP161990']",hurricane,pacific,30,55,True,
EP132004__EP091959,"['EP132004', 'EP091959']",hurricane,pacific,39,31,True,
EP132004__EP091993,"['EP132004', 'EP091993']",hurricane,pacific,39,42,True,
EP132004__EP112006,"['EP132004', 'EP112006']",hurricane,pacific,39,32,True,
EP132004__EP132009,"['EP132004', 'EP132009']",hurricane,pacific,39,39,True,
EP132011__EP011970,"['EP132011', 'EP011970']",hurricane,pacific,31,31,True,
EP132011__EP011973,"['EP132011', 'EP011973']",hurricane,pacific,31,43,True,
EP132011__EP101976,"['EP132011', 'EP101976']",hurricane,pacific,31,41,True,
EP132012__EP101996,"['EP132012', 'EP101996']",hurricane,pacific,44,46,True,
EP132013__EP152005,"['EP132013', 'EP152005']",hurricane,pacific,26,31,True,
EP132014__EP221992,"['EP132014', 'EP221992']",hurricane,pacific,46,98,True,
EP132015__EP071976,"['EP132015', 'EP071976']",hurricane,pacific,63,54,True,
EP141967__EP092013,"['EP141967', 'EP092013']",hurricane,pacific,37,31,True,
EP141970__EP021949,"['EP141970', 'EP021949']",hurricane,pacific,25,25,True,
EP141970__EP031949,"['EP141970', 'EP031949']",hurricane,pacific,25,25,True,
EP141970__EP081996,"['EP141970', 'EP081996']",hurricane,pacific,25,29,True,
EP141970__EP082012,"['EP141970', 'EP082012']",hurricane,pacific,25,35,True,
EP141970__EP132003,"['EP141970', 'EP132003']",hurricane,pacific,25,31,True,
