pair,individuals,domain,basin,nA,nB,eligible,exclusion_reason
AL011852__AL081959,"['AL011852', 'AL081959']",hurricane,atlantic,45,50,True,
AL011860__AL051912,"['AL011860', 'AL051912']",hurricane,atlantic,35,30,True,
AL011861__AL021943,"['AL011861', 'AL021943']",hurricane,atlantic,28,26,True,
AL011861__AL041852,"['AL011861', 'AL041852']",hurricane,atlantic,28,36,True,
AL011885__AL071894,"['AL011885', 'AL071894']",hurricane,atlantic,36,42,True,
AL011885__AL211995,"['AL011885', 'AL211995']",hurricane,atlantic,36,29,True,
AL011892__AL011968,"['AL011892', 'AL011968']",hurricane,atlantic,33,51,True,
AL011893__AL061904,"['AL011893', 'AL061904']",hurricane,atlantic,36,26,True,
AL011897__AL071901,"['AL011897', 'AL071901']",hurricane,atlantic,43,55,True,
AL011897__AL101936,"['AL011897', 'AL101936']",hurricane,atlantic,43,49,True,
AL011910__AL011928,"['AL011910', 'AL011928']",hurricane,atlantic,27,46,True,
AL011910__AL021943,"['AL011910', 'AL021943']",hurricane,atlantic,27,26,True,
AL011912__AL011957,"['AL011912', 'AL011957']",hurricane,atlantic,42,32,True,
AL011917__AL091887,"['AL011917', 'AL091887']",hurricane,atlantic,33,47,True,
AL011918__AL031933,"['AL011918', 'AL031933']",hurricane,atlantic,28,55,True,
AL011920__AL111976,"['AL011920', 'AL111976']",hurricane,atlantic,38,45,True,
AL011923__AL041979,"['AL011923', 'AL041979']",hurricane,atlantic,28,29,True,
AL011923__AL071871,"['AL011923', 'AL071871']",hurricane,atlantic,28,33,True,
AL011926__AL042005,"['AL011926', 'AL042005']",hurricane,atlantic,47,59,True,
AL011927__AL081955,"['AL011927', 'AL081955']",hurricane,atlantic,45,69,True,
AL011928__AL011852,"['AL011928', 'AL011852']",hurricane,atlantic,46,45,True,
AL011928__AL021939,"['AL011928', 'AL021939']",hurricane,atlantic,46,49,True,
AL011953__AL172008,"['AL011953', 'AL172008']",hurricane,atlantic,53,35,True,
AL011963__AL081996,"['AL011963', 'AL081996']",hurricane,atlantic,43,53,True,
AL011964__AL021886,"['AL011964', 'AL021886']",hurricane,atlantic,38,33,True,
AL011965__AL041902,"['AL011965', 'AL041902']",hurricane,atlantic,29,44,True,
AL011970__AL111964,"['AL011970', 'AL111964']",hurricane,atlantic,39,35,True,
AL011991__AL021906,"['AL011991', 'AL021906']",hurricane,atlantic,25,41,True,
AL011994__AL052010,"['AL011994', 'AL052010']",hurricane,atlantic,32,32,True,
AL012005__AL171995,"['AL012005', 'AL171995']",hurricane,atlantic,25,39,True,
AL012010__AL152000,"['AL012010', 'AL152000']",hurricane,atlantic,32,34,True,
AL021867__AL031862,"['AL021867', 'AL031862']",hurricane,atlantic,28,34,True,
AL021867__AL061886,"['AL021867', 'AL061886']",hurricane,atlantic,28,52,True,
AL021867__AL071898,"['AL021867', 'AL071898']",hurricane,atlantic,28,49,True,
AL021867__AL071961,"['AL021867', 'AL071961']",hurricane,atlantic,28,41,True,
AL021867__AL082008,"['AL021867', 'AL082008']",hurricane,atlantic,28,49,True,
AL021868__AL012001,"['AL021868', 'AL012001']",hurricane,atlantic,29,57,True,
AL021873__AL122012,"['AL021873', 'AL122012']",hurricane,atlantic,64,60,True,
AL021876__AL112004,"['AL021876', 'AL112004']",hurricane,atlantic,33,69,True,
AL021877__AL041979,"['AL021877', 'AL041979']",hurricane,atlantic,34,29,True,
AL021878__AL011917,"['AL021878', 'AL011917']",hurricane,atlantic,45,33,True,
AL021878__AL091887,"['AL021878', 'AL091887']",hurricane,atlantic,45,47,True,
AL021878__AL131967,"['AL021878', 'AL131967']",hurricane,atlantic,45,70,True,
AL021879__AL031966,"['AL021879', 'AL031966']",hurricane,atlantic,32,36,True,
AL021879__AL041899,"['AL021879', 'AL041899']",hurricane,atlantic,32,43,True,
AL021879__AL071898,"['AL021879', 'AL071898']",hurricane,atlantic,32,49,True,
AL021879__AL082008,"['AL021879', 'AL082008']",hurricane,atlantic,32,49,True,
AL021879__AL091945,"['AL021879', 'AL091945']",hurricane,atlantic,32,39,True,
AL021880__AL021919,"['AL021880', 'AL021919']",hurricane,atlantic,45,59,True,
AL021880__AL031910,"['AL021880', 'AL031910']",hurricane,atlantic,45,44,True,
AL021880__AL041909,"['AL021880', 'AL041909']",hurricane,atlantic,45,38,True,
AL021880__AL101974,"['AL021880', 'AL101974']",hurricane,atlantic,45,49,True,
AL021884__AL131978,"['AL021884', 'AL131978']",hurricane,atlantic,56,50,True,
AL021889__AL021886,"['AL021889', 'AL021886']",hurricane,atlantic,25,33,True,
AL021889__AL112000,"['AL021889', 'AL112000']",hurricane,atlantic,25,29,True,
AL021890__AL031933,"['AL021890', 'AL031933']",hurricane,atlantic,41,55,True,
AL021890__AL031937,"['AL021890', 'AL031937']",hurricane,atlantic,41,39,True,
AL021891__AL151988,"['AL021891', 'AL151988']",hurricane,atlantic,51,45,True,
AL021892__AL031890,"['AL021892', 'AL031890']",hurricane,atlantic,40,33,True,
AL021892__AL121933,"['AL021892', 'AL121933']",hurricane,atlantic,40,60,True,
AL021895__AL011917,"['AL021895', 'AL011917']",hurricane,atlantic,36,33,True,
AL021895__AL021878,"['AL021895', 'AL021878']",hurricane,atlantic,36,45,True,
AL021895__AL031910,"['AL021895', 'AL031910']",hurricane,atlantic,36,44,True,
AL021895__AL041857,"['AL021895', 'AL041857']",hurricane,atlantic,36,29,True,
AL021895__AL051933,"['AL021895', 'AL051933']",hurricane,atlantic,36,51,True,
AL021895__AL051958,"['AL021895', 'AL051958']",hurricane,atlantic,36,35,True,
AL021895__AL061931,"['AL021895', 'AL061931']",hurricane,atlantic,36,28,True,
AL021895__AL071892,"['AL021895', 'AL071892']",hurricane,atlantic,36,45,True,
AL021895__AL091887,"['AL021895', 'AL091887']",hurricane,atlantic,36,47,True,
AL021895__AL131967,"['AL021895', 'AL131967']",hurricane,atlantic,36,70,True,
AL021896__AL021876,"['AL021896', 'AL021876']",hurricane,atlantic,52,33,True,
AL021900__AL031950,"['AL021900', 'AL031950']",hurricane,atlantic,50,61,True,
AL021902__AL011939,"['AL021902', 'AL011939']",hurricane,atlantic,37,28,True,
AL021902__AL021972,"['AL021902', 'AL021972']",hurricane,atlantic,37,35,True,
AL021903__AL021933,"['AL021903', 'AL021933']",hurricane,atlantic,43,53,True,
AL021903__AL052005,"['AL021903', 'AL052005']",hurricane,atlantic,43,45,True,
AL021903__AL072012,"['AL021903', 'AL072012']",hurricane,atlantic,43,38,True,
AL021904__AL071961,"['AL021904', 'AL071961']",hurricane,atlantic,33,41,True,
AL021908__AL051888,"['AL021908', 'AL051888']",hurricane,atlantic,32,28,True,
AL021908__AL061954,"['AL021908', 'AL061954']",hurricane,atlantic,32,30,True,
AL021911__AL032001,"['AL021911', 'AL032001']",hurricane,atlantic,26,25,True,
AL021911__AL052010,"['AL021911', 'AL052010']",hurricane,atlantic,26,32,True,
AL021916__AL011953,"['AL021916', 'AL011953']",hurricane,atlantic,51,53,True,
AL021916__AL091947,"['AL021916', 'AL091947']",hurricane,atlantic,51,36,True,
AL021920__AL051898,"['AL021920', 'AL051898']",hurricane,atlantic,30,43,True,
AL021922__AL101995,"['AL021922', 'AL101995']",hurricane,atlantic,62,66,True,
AL021923__AL101984,"['AL021923', 'AL101984']",hurricane,atlantic,38,33,True,
AL021923__AL102000,"['AL021923', 'AL102000']",hurricane,atlantic,38,29,True,
AL021926__AL041962,"['AL021926', 'AL041962']",hurricane,atlantic,42,41,True,
AL021926__AL091964,"['AL021926', 'AL091964']",hurricane,atlantic,42,48,True,
AL021928__AL031883,"['AL021928', 'AL031883']",hurricane,atlantic,42,39,True,
AL021928__AL061915,"['AL021928', 'AL061915']",hurricane,atlantic,42,42,True,
AL021928__AL102002,"['AL021928', 'AL102002']",hurricane,atlantic,42,55,True,
AL021931__AL031905,"['AL021931', 'AL031905']",hurricane,atlantic,26,28,True,
AL021931__AL101886,"['AL021931', 'AL101886']",hurricane,atlantic,26,25,True,
AL021937__AL011940,"['AL021937', 'AL011940']",hurricane,atlantic,28,32,True,
AL021937__AL061897,"['AL021937', 'AL061897']",hurricane,atlantic,28,36,True,
AL021940__AL021911,"['AL021940', 'AL021911']",hurricane,atlantic,31,26,True,
AL021940__AL032001,"['AL021940', 'AL032001']",hurricane,atlantic,31,25,True,
AL021942__AL051950,"['AL021942', 'AL051950']",hurricane,atlantic,26,38,True,
AL021943__AL011928,"['AL021943', 'AL011928']",hurricane,atlantic,26,46,True,
AL021943__AL041852,"['AL021943', 'AL041852']",hurricane,atlantic,26,36,True,
AL021960__AL011917,"['AL021960', 'AL011917']",hurricane,atlantic,34,33,True,
AL021960__AL071892,"['AL021960', 'AL071892']",hurricane,atlantic,34,45,True,
AL021960__AL141933,"['AL021960', 'AL141933']",hurricane,atlantic,34,38,True,
AL021961__AL131978,"['AL021961', 'AL131978']",hurricane,atlantic,41,50,True,
AL021963__AL041924,"['AL021963', 'AL041924']",hurricane,atlantic,34,48,True,
AL021972__AL171995,"['AL021972', 'AL171995']",hurricane,atlantic,35,39,True,
AL021975__AL062005,"['AL021975', 'AL062005']",hurricane,atlantic,31,37,True,
AL021983__AL011998,"['AL021983', 'AL011998']",hurricane,atlantic,25,26,True,
AL021983__AL042015,"['AL021983', 'AL042015']",hurricane,atlantic,25,31,True,
AL022009__AL061989,"['AL022009', 'AL061989']",hurricane,atlantic,26,36,True,
AL022009__AL102008,"['AL022009', 'AL102008']",hurricane,atlantic,26,33,True,
AL022011__AL071977,"['AL022011', 'AL071977']",hurricane,atlantic,29,27,True,
AL031854__AL011991,"['AL031854', 'AL011991']",hurricane,atlantic,25,25,False,previously tested unordered pair
AL031854__AL041958,"['AL031854', 'AL041958']",hurricane,atlantic,25,30,True,
AL031864__AL062007,"['AL031864', 'AL062007']",hurricane,atlantic,26,28,True,
AL031864__AL081971,"['AL031864', 'AL081971']",hurricane,atlantic,26,29,True,
AL031872__AL071961,"['AL031872', 'AL071961']",hurricane,atlantic,48,41,True,
AL031874__AL041893,"['AL031874', 'AL041893']",hurricane,atlantic,42,47,True,
AL031874__AL142011,"['AL031874', 'AL142011']",hurricane,atlantic,42,42,True,
AL031879__AL031905,"['AL031879', 'AL031905']",hurricane,atlantic,25,28,True,
AL031879__AL051898,"['AL031879', 'AL051898']",hurricane,atlantic,25,43,True,
AL031879__AL051950,"['AL031879', 'AL051950']",hurricane,atlantic,25,38,True,
AL031879__AL111950,"['AL031879', 'AL111950']",hurricane,atlantic,25,31,True,
AL031883__AL011910,"['AL031883', 'AL011910']",hurricane,atlantic,39,27,True,
AL031883__AL061915,"['AL031883', 'AL061915']",hurricane,atlantic,39,42,True,
AL031889__AL011948,"['AL031889', 'AL011948']",hurricane,atlantic,39,28,True,
AL031889__AL072013,"['AL031889', 'AL072013']",hurricane,atlantic,39,36,True,
AL031889__AL111985,"['AL031889', 'AL111985']",hurricane,atlantic,39,36,True,
AL031890__AL031896,"['AL031890', 'AL031896']",hurricane,atlantic,33,43,True,
AL031890__AL121933,"['AL031890', 'AL121933']",hurricane,atlantic,33,60,True,
AL031893__AL121987,"['AL031893', 'AL121987']",hurricane,atlantic,50,30,True,
AL031894__AL151975,"['AL031894', 'AL151975']",hurricane,atlantic,44,46,True,
AL031894__AL162011,"['AL031894', 'AL162011']",hurricane,atlantic,44,59,True,
AL031895__AL071956,"['AL031895', 'AL071956']",hurricane,atlantic,39,52,True,
AL031897__AL061899,"['AL031897', 'AL061899']",hurricane,atlantic,25,26,True,
AL031897__AL061971,"['AL031897', 'AL061971']",hurricane,atlantic,25,29,True,
AL031904__AL221971,"['AL031904', 'AL221971']",hurricane,atlantic,28,39,True,
AL031905__AL051950,"['AL031905', 'AL051950']",hurricane,atlantic,28,38,True,
AL031910__AL091887,"['AL031910', 'AL091887']",hurricane,atlantic,44,47,True,
AL031910__AL131967,"['AL031910', 'AL131967']",hurricane,atlantic,44,70,True,
AL031913__AL101989,"['AL031913', 'AL101989']",hurricane,atlantic,70,58,True,
AL031916__AL021935,"['AL031916', 'AL021935']",hurricane,atlantic,52,43,True,
AL031916__AL041851,"['AL031916', 'AL041851']",hurricane,atlantic,52,49,True,
AL031927__AL091990,"['AL031927', 'AL091990']",hurricane,atlantic,28,26,True,
AL031931__AL011917,"['AL031931', 'AL011917']",hurricane,atlantic,34,33,True,
AL031931__AL021878,"['AL031931', 'AL021878']",hurricane,atlantic,34,45,True,
AL031931__AL041941,"['AL031931', 'AL041941']",hurricane,atlantic,34,29,True,
AL031931__AL061931,"['AL031931', 'AL061931']",hurricane,atlantic,34,28,True,
AL031931__AL141933,"['AL031931', 'AL141933']",hurricane,atlantic,34,38,True,
AL031932__AL051999,"['AL031932', 'AL051999']",hurricane,atlantic,39,66,True,
AL031937__AL051881,"['AL031937', 'AL051881']",hurricane,atlantic,39,37,True,
AL031940__AL062008,"['AL031940', 'AL062008']",hurricane,atlantic,38,59,True,
AL031941__AL012015,"['AL031941', 'AL012015']",hurricane,atlantic,32,28,True,
AL031943__AL031924,"['AL031943', 'AL031924']",hurricane,atlantic,34,50,True,
AL031943__AL061908,"['AL031943', 'AL061908']",hurricane,atlantic,34,50,True,
AL031948__AL011949,"['AL031948', 'AL011949']",hurricane,atlantic,44,37,True,
AL031958__AL041965,"['AL031958', 'AL041965']",hurricane,atlantic,47,63,True,
AL031961__AL051894,"['AL031961', 'AL051894']",hurricane,atlantic,51,49,True,
AL031962__AL031915,"['AL031962', 'AL031915']",hurricane,atlantic,40,59,True,
AL031965__AL061979,"['AL031965', 'AL061979']",hurricane,atlantic,68,57,True,
AL031982__AL011998,"['AL031982', 'AL011998']",hurricane,atlantic,37,26,True,
AL031988__AL091964,"['AL031988', 'AL091964']",hurricane,atlantic,39,48,True,
AL031993__AL111988,"['AL031993', 'AL111988']",hurricane,atlantic,33,53,True,
AL032004__AL041877,"['AL032004', 'AL041877']",hurricane,atlantic,30,61,True,
AL032005__AL071956,"['AL032005', 'AL071956']",hurricane,atlantic,34,52,True,
AL032009__AL041998,"['AL032009', 'AL041998']",hurricane,atlantic,46,61,True,
AL041851__AL122000,"['AL041851', 'AL122000']",hurricane,atlantic,49,42,True,
AL041857__AL031910,"['AL041857', 'AL031910']",hurricane,atlantic,29,44,True,
AL041857__AL051933,"['AL041857', 'AL051933']",hurricane,atlantic,29,51,True,
AL041857__AL091887,"['AL041857', 'AL091887']",hurricane,atlantic,29,47,True,
AL041857__AL131967,"['AL041857', 'AL131967']",hurricane,atlantic,29,70,True,
AL041858__AL061950,"['AL041858', 'AL061950']",hurricane,atlantic,32,38,True,
AL041858__AL091980,"['AL041858', 'AL091980']",hurricane,atlantic,32,32,True,
AL041865__AL011918,"['AL041865', 'AL011918']",hurricane,atlantic,37,28,True,
AL041865__AL021950,"['AL041865', 'AL021950']",hurricane,atlantic,37,60,True,
AL041865__AL031875,"['AL041865', 'AL031875']",hurricane,atlantic,37,45,True,
AL041865__AL031933,"['AL041865', 'AL031933']",hurricane,atlantic,37,55,True,
AL041865__AL051881,"['AL041865', 'AL051881']",hurricane,atlantic,37,37,True,
AL041865__AL101974,"['AL041865', 'AL101974']",hurricane,atlantic,37,49,True,
AL041872__AL091995,"['AL041872', 'AL091995']",hurricane,atlantic,28,41,True,
AL041872__AL121990,"['AL041872', 'AL121990']",hurricane,atlantic,28,62,True,
AL041884__AL181933,"['AL041884', 'AL181933']",hurricane,atlantic,42,55,True,
AL041887__AL031901,"['AL041887', 'AL031901']",hurricane,atlantic,37,42,True,
AL041887__AL041917,"['AL041887', 'AL041917']",hurricane,atlantic,37,43,True,
AL041887__AL131971,"['AL041887', 'AL131971']",hurricane,atlantic,37,51,True,
AL041889__AL031883,"['AL041889', 'AL031883']",hurricane,atlantic,48,39,True,
AL041889__AL081934,"['AL041889', 'AL081934']",hurricane,atlantic,48,29,True,
AL041891__AL051900,"['AL041891', 'AL051900']",hurricane,atlantic,34,42,True,
AL041893__AL091979,"['AL041893', 'AL091979']",hurricane,atlantic,47,55,True,
AL041894__AL081901,"['AL041894', 'AL081901']",hurricane,atlantic,57,44,True,
AL041899__AL082008,"['AL041899', 'AL082008']",hurricane,atlantic,43,49,True,
AL041908__AL021989,"['AL041908', 'AL021989']",hurricane,atlantic,25,28,True,
AL041909__AL051886,"['AL041909', 'AL051886']",hurricane,atlantic,38,40,True,
AL041911__AL051942,"['AL041911', 'AL051942']",hurricane,atlantic,38,32,True,
AL041911__AL062007,"['AL041911', 'AL062007']",hurricane,atlantic,38,28,True,
AL041915__AL182012,"['AL041915', 'AL182012']",hurricane,atlantic,27,45,True,
AL041917__AL031901,"['AL041917', 'AL031901']",hurricane,atlantic,43,42,True,
AL041917__AL131971,"['AL041917', 'AL131971']",hurricane,atlantic,43,51,True,
AL041921__AL102001,"['AL041921', 'AL102001']",hurricane,atlantic,28,26,True,
AL041922__AL221971,"['AL041922', 'AL221971']",hurricane,atlantic,46,39,True,
AL041924__AL051940,"['AL041924', 'AL051940']",hurricane,atlantic,48,49,True,
AL041925__AL091880,"['AL041925', 'AL091880']",hurricane,atlantic,36,25,True,
AL041928__AL061938,"['AL041928', 'AL061938']",hurricane,atlantic,62,57,True,
AL041941__AL011917,"['AL041941', 'AL011917']",hurricane,atlantic,29,33,True,
AL041941__AL021878,"['AL041941', 'AL021878']",hurricane,atlantic,29,45,True,
AL041941__AL062007,"['AL041941', 'AL062007']",hurricane,atlantic,29,28,True,
AL041944__AL011917,"['AL041944', 'AL011917']",hurricane,atlantic,32,33,True,
AL041944__AL021878,"['AL041944', 'AL021878']",hurricane,atlantic,32,45,True,
AL041944__AL021960,"['AL041944', 'AL021960']",hurricane,atlantic,32,34,True,
AL041944__AL031931,"['AL041944', 'AL031931']",hurricane,atlantic,32,34,True,
AL041944__AL041941,"['AL041944', 'AL041941']",hurricane,atlantic,32,29,True,
AL041944__AL061931,"['AL041944', 'AL061931']",hurricane,atlantic,32,28,True,
AL041944__AL071892,"['AL041944', 'AL071892']",hurricane,atlantic,32,45,True,
AL041944__AL141933,"['AL041944', 'AL141933']",hurricane,atlantic,32,38,True,
AL041951__AL021903,"['AL041951', 'AL021903']",hurricane,atlantic,52,43,True,
AL041951__AL021933,"['AL041951', 'AL021933']",hurricane,atlantic,52,53,True,
AL041951__AL052005,"['AL041951', 'AL052005']",hurricane,atlantic,52,45,True,
AL041951__AL072012,"['AL041951', 'AL072012']",hurricane,atlantic,52,38,True,
AL041952__AL061908,"['AL041952', 'AL061908']",hurricane,atlantic,40,50,True,
AL041953__AL112010,"['AL041953', 'AL112010']",hurricane,atlantic,52,61,True,
AL041958__AL192011,"['AL041958', 'AL192011']",hurricane,atlantic,30,27,True,
AL041961__AL092006,"['AL041961', 'AL092006']",hurricane,atlantic,40,62,True,
AL041990__AL102015,"['AL041990', 'AL102015']",hurricane,atlantic,31,51,True,
AL041994__AL011963,"['AL041994', 'AL011963']",hurricane,atlantic,30,43,True,
AL041994__AL081996,"['AL041994', 'AL081996']",hurricane,atlantic,30,53,True,
AL041994__AL142011,"['AL041994', 'AL142011']",hurricane,atlantic,30,42,True,
AL041999__AL031913,"['AL041999', 'AL031913']",hurricane,atlantic,51,70,True,
AL041999__AL101989,"['AL041999', 'AL101989']",hurricane,atlantic,51,58,True,
AL051863__AL052001,"['AL051863', 'AL052001']",hurricane,atlantic,32,27,True,
AL051863__AL071887,"['AL051863', 'AL071887']",hurricane,atlantic,32,39,True,
AL051872__AL112000,"['AL051872', 'AL112000']",hurricane,atlantic,28,29,True,
AL051873__AL051897,"['AL051873', 'AL051897']",hurricane,atlantic,59,54,True,
AL051876__AL061882,"['AL051876', 'AL061882']",hurricane,atlantic,49,45,True,
AL051876__AL061939,"['AL051876', 'AL061939']",hurricane,atlantic,49,39,True,
AL051876__AL071865,"['AL051876', 'AL071865']",hurricane,atlantic,49,34,True,
AL051876__AL071891,"['AL051876', 'AL071891']",hurricane,atlantic,49,25,True,
AL051876__AL111909,"['AL051876', 'AL111909']",hurricane,atlantic,49,30,True,
AL051876__AL111924,"['AL051876', 'AL111924']",hurricane,atlantic,49,38,True,
AL051876__AL181933,"['AL051876', 'AL181933']",hurricane,atlantic,49,55,True,
AL051880__AL031915,"['AL051880', 'AL031915']",hurricane,atlantic,40,59,True,
AL051881__AL031875,"['AL051881', 'AL031875']",hurricane,atlantic,37,45,True,
AL051888__AL011940,"['AL051888', 'AL011940']",hurricane,atlantic,28,32,True,
AL051892__AL042004,"['AL051892', 'AL042004']",hurricane,atlantic,48,46,True,
AL051898__AL061906,"['AL051898', 'AL061906']",hurricane,atlantic,43,45,True,
AL051899__AL041926,"['AL051899', 'AL041926']",hurricane,atlantic,52,95,True,
AL051903__AL171887,"['AL051903', 'AL171887']",hurricane,atlantic,32,30,True,
AL051905__AL021972,"['AL051905', 'AL021972']",hurricane,atlantic,28,35,True,
AL051905__AL061885,"['AL051905', 'AL061885']",hurricane,atlantic,28,37,True,
AL051906__AL041992,"['AL051906', 'AL041992']",hurricane,atlantic,63,52,True,
AL051907__AL132012,"['AL051907', 'AL132012']",hurricane,atlantic,28,42,True,
AL051918__AL041943,"['AL051918', 'AL041943']",hurricane,atlantic,27,36,True,
AL051923__AL051962,"['AL051923', 'AL051962']",hurricane,atlantic,41,36,True,
AL051924__AL071879,"['AL051924', 'AL071879']",hurricane,atlantic,29,25,True,
AL051933__AL131967,"['AL051933', 'AL131967']",hurricane,atlantic,51,70,True,
AL051934__AL091949,"['AL051934', 'AL091949']",hurricane,atlantic,27,27,True,
AL051935__AL121988,"['AL051935', 'AL121988']",hurricane,atlantic,39,39,True,
AL051942__AL062007,"['AL051942', 'AL062007']",hurricane,atlantic,32,28,True,
AL051942__AL131969,"['AL051942', 'AL131969']",hurricane,atlantic,32,27,True,
AL051942__AL161978,"['AL051942', 'AL161978']",hurricane,atlantic,32,26,True,
AL051950__AL011994,"['AL051950', 'AL011994']",hurricane,atlantic,38,32,True,
AL051958__AL021880,"['AL051958', 'AL021880']",hurricane,atlantic,35,45,True,
AL051958__AL041909,"['AL051958', 'AL041909']",hurricane,atlantic,35,38,True,
AL051958__AL051933,"['AL051958', 'AL051933']",hurricane,atlantic,35,51,True,
AL051958__AL091887,"['AL051958', 'AL091887']",hurricane,atlantic,35,47,True,
AL051958__AL131967,"['AL051958', 'AL131967']",hurricane,atlantic,35,70,True,
AL051989__AL051964,"['AL051989', 'AL051964']",hurricane,atlantic,38,64,True,
AL052001__AL021885,"['AL052001', 'AL021885']",hurricane,atlantic,27,32,True,
AL052001__AL071887,"['AL052001', 'AL071887']",hurricane,atlantic,27,39,True,
AL052005__AL021933,"['AL052005', 'AL021933']",hurricane,atlantic,45,53,True,
AL052005__AL072012,"['AL052005', 'AL072012']",hurricane,atlantic,45,38,True,
AL052006__AL092013,"['AL052006', 'AL092013']",hurricane,atlantic,26,46,True,
AL061866__AL092005,"['AL061866', 'AL092005']",hurricane,atlantic,48,56,True,
AL061870__AL011948,"['AL061870', 'AL011948']",hurricane,atlantic,40,28,True,
AL061870__AL031909,"['AL061870', 'AL031909']",hurricane,atlantic,40,36,True,
AL061874__AL032005,"['AL061874', 'AL032005']",hurricane,atlantic,27,34,True,
AL061878__AL061958,"['AL061878', 'AL061958']",hurricane,atlantic,28,30,True,
AL061879__AL021950,"['AL061879', 'AL021950']",hurricane,atlantic,33,60,True,
AL061879__AL031875,"['AL061879', 'AL031875']",hurricane,atlantic,33,45,True,
AL061879__AL031933,"['AL061879', 'AL031933']",hurricane,atlantic,33,55,True,
AL061879__AL041865,"['AL061879', 'AL041865']",hurricane,atlantic,33,37,True,
AL061879__AL041887,"['AL061879', 'AL041887']",hurricane,atlantic,33,37,True,
AL061879__AL051881,"['AL061879', 'AL051881']",hurricane,atlantic,33,37,True,
AL061880__AL051924,"['AL061880', 'AL051924']",hurricane,atlantic,26,29,True,
AL061882__AL041985,"['AL061882', 'AL041985']",hurricane,atlantic,45,37,True,
AL061882__AL061939,"['AL061882', 'AL061939']",hurricane,atlantic,45,39,True,
AL061882__AL111878,"['AL061882', 'AL111878']",hurricane,atlantic,45,33,True,
AL061882__AL111924,"['AL061882', 'AL111924']",hurricane,atlantic,45,38,True,
AL061885__AL011860,"['AL061885', 'AL011860']",hurricane,atlantic,37,35,True,
AL061885__AL051912,"['AL061885', 'AL051912']",hurricane,atlantic,37,30,True,
AL061886__AL071898,"['AL061886', 'AL071898']",hurricane,atlantic,52,49,True,
AL061886__AL122000,"['AL061886', 'AL122000']",hurricane,atlantic,52,42,True,
AL061887__AL011950,"['AL061887', 'AL011950']",hurricane,atlantic,38,51,True,
AL061887__AL071894,"['AL061887', 'AL071894']",hurricane,atlantic,38,42,True,
AL061891__AL031896,"['AL061891', 'AL031896']",hurricane,atlantic,39,43,True,
AL061891__AL031995,"['AL061891', 'AL031995']",hurricane,atlantic,39,41,True,
AL061891__AL061937,"['AL061891', 'AL061937']",hurricane,atlantic,39,31,True,
AL061891__AL082014,"['AL061891', 'AL082014']",hurricane,atlantic,39,39,True,
AL061897__AL011962,"['AL061897', 'AL011962']",hurricane,atlantic,36,30,True,
AL061898__AL031926,"['AL061898', 'AL031926']",hurricane,atlantic,35,31,True,
AL061906__AL021916,"['AL061906', 'AL021916']",hurricane,atlantic,45,51,True,
AL061909__AL021895,"['AL061909', 'AL021895']",hurricane,atlantic,34,36,True,
AL061909__AL021960,"['AL061909', 'AL021960']",hurricane,atlantic,34,34,True,
AL061909__AL031910,"['AL061909', 'AL031910']",hurricane,atlantic,34,44,True,
AL061909__AL041857,"['AL061909', 'AL041857']",hurricane,atlantic,34,29,True,
AL061909__AL051933,"['AL061909', 'AL051933']",hurricane,atlantic,34,51,True,
AL061909__AL051958,"['AL061909', 'AL051958']",hurricane,atlantic,34,35,True,
AL061909__AL071892,"['AL061909', 'AL071892']",hurricane,atlantic,34,45,True,
AL061909__AL091887,"['AL061909', 'AL091887']",hurricane,atlantic,34,47,True,
AL061909__AL101955,"['AL061909', 'AL101955']",hurricane,atlantic,34,40,True,
AL061909__AL131967,"['AL061909', 'AL131967']",hurricane,atlantic,34,70,True,
AL061915__AL011926,"['AL061915', 'AL011926']",hurricane,atlantic,42,47,True,
AL061915__AL041896,"['AL061915', 'AL041896']",hurricane,atlantic,42,35,True,
AL061915__AL102002,"['AL061915', 'AL102002']",hurricane,atlantic,42,55,True,
AL061916__AL042003,"['AL061916', 'AL042003']",hurricane,atlantic,33,45,True,
AL061916__AL051886,"['AL061916', 'AL051886']",hurricane,atlantic,33,40,True,
AL061921__AL101926,"['AL061921', 'AL101926']",hurricane,atlantic,43,57,True,
AL061921__AL181933,"['AL061921', 'AL181933']",hurricane,atlantic,43,55,True,
AL061931__AL011917,"['AL061931', 'AL011917']",hurricane,atlantic,28,33,True,
AL061931__AL021878,"['AL061931', 'AL021878']",hurricane,atlantic,28,45,True,
AL061933__AL031913,"['AL061933', 'AL031913']",hurricane,atlantic,62,70,True,
AL061933__AL101989,"['AL061933', 'AL101989']",hurricane,atlantic,62,58,True,
AL061935__AL221971,"['AL061935', 'AL221971']",hurricane,atlantic,36,39,True,
AL061936__AL051939,"['AL061936', 'AL051939']",hurricane,atlantic,31,30,True,
AL061936__AL052001,"['AL061936', 'AL052001']",hurricane,atlantic,31,27,True,
AL061936__AL071887,"['AL061936', 'AL071887']",hurricane,atlantic,31,39,True,
AL061936__AL071944,"['AL061936', 'AL071944']",hurricane,atlantic,31,32,True,
AL061940__AL011953,"['AL061940', 'AL011953']",hurricane,atlantic,29,53,True,
AL061940__AL021916,"['AL061940', 'AL021916']",hurricane,atlantic,29,51,True,
AL061940__AL091947,"['AL061940', 'AL091947']",hurricane,atlantic,29,36,True,
AL061940__AL172008,"['AL061940', 'AL172008']",hurricane,atlantic,29,35,True,
