configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,origin,attempt_path,status,validated,resource_limited,kA,kB,k,retained_A,retained_B,retained_total,solver_seconds,validation_seconds,warmup_seconds,total_seconds,peak_rss_mib,states,transitions,states_dequeued,completed_states_lower_bound,queue_size,chain_graphs_completed,graph_entered,solution_route,solver_optimality_claim,validation_status,limiting_phase,coupling_distance,coupling_feasible,raw_checkpoint_sha256,validation_proves_optimality,applicable_internal_seconds,effective_chain_cap,raw_status,supervisor_status,failure_reason,solver_time_kind,termination_reason,validation_recovery_path,original_validation_seconds,original_limiting_phase,original_origin,observation_cohort,raw_kA,raw_kB,raw_k
protein:1o7j.a__4eca.d:a1|Independent continuous,45,protein,1o7j.a__4eca.d,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__4eca.d.npz,926bd75812d2daa4cb742c7dbd881611b05dc2d93343e85c35a1267077868b86,Independent continuous,1.0,18.95299827936545,17.56200321371436,15.364049921814237,unexecuted,,unexecuted,False,False,,,,,,,,,,,,,,,,,,False,,False,not_run,,,,,False,,N/A,,,,,unexecuted,,,,,new expansion,,,
protein:1o7j.a__4eca.d:a1|Independent discrete,46,protein,1o7j.a__4eca.d,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__4eca.d.npz,926bd75812d2daa4cb742c7dbd881611b05dc2d93343e85c35a1267077868b86,Independent discrete,1.0,18.95299827936545,17.56200321371436,15.364049921814237,unexecuted,,unexecuted,False,False,,,,,,,,,,,,,,,,,,False,,False,not_run,,,,,False,,2000000 default,,,,,unexecuted,,,,,new expansion,,,
protein:1o7j.a__4eca.d:a1|CPS-2F,47,protein,1o7j.a__4eca.d,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__4eca.d.npz,926bd75812d2daa4cb742c7dbd881611b05dc2d93343e85c35a1267077868b86,CPS-2F,1.0,18.95299827936545,17.56200321371436,15.364049921814237,unexecuted,,unexecuted,False,False,,,,,,,,,,,,,,,,,,False,,False,not_run,,,,,False,55.0,800000 main,,,,,unexecuted,,,,,new expansion,,,
protein:1o7j.a__4eca.d:a1|CPS-3F,48,protein,1o7j.a__4eca.d,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__4eca.d.npz,926bd75812d2daa4cb742c7dbd881611b05dc2d93343e85c35a1267077868b86,CPS-3F,1.0,18.95299827936545,17.56200321371436,15.364049921814237,unexecuted,,unexecuted,False,False,,,,,,,,,,,,,,,,,,False,,False,not_run,,,,,False,55.0,800000 main; 2000000 preprocessing,,,,,unexecuted,,,,,new expansion,,,
protein:1o7j.a__1toh.a:a1|Independent continuous,53,protein,1o7j.a__1toh.a,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1toh.a.npz,5e6a2b9a37b78ae69edb4d6f22281db5d47f278893cbaca092fc6164e9b8337e,Independent continuous,1.0,18.95299827936545,20.69255697061859,37.12846564295379,unexecuted,,unexecuted,False,False,,,,,,,,,,,,,,,,,,False,,False,not_run,,,,,False,,N/A,,,,,unexecuted,,,,,new expansion,,,
protein:1o7j.a__1toh.a:a1|Independent discrete,54,protein,1o7j.a__1toh.a,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1toh.a.npz,5e6a2b9a37b78ae69edb4d6f22281db5d47f278893cbaca092fc6164e9b8337e,Independent discrete,1.0,18.95299827936545,20.69255697061859,37.12846564295379,unexecuted,,unexecuted,False,False,,,,,,,,,,,,,,,,,,False,,False,not_run,,,,,False,,2000000 default,,,,,unexecuted,,,,,new expansion,,,
protein:1o7j.a__1toh.a:a1|CPS-2F,55,protein,1o7j.a__1toh.a,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1toh.a.npz,5e6a2b9a37b78ae69edb4d6f22281db5d47f278893cbaca092fc6164e9b8337e,CPS-2F,1.0,18.95299827936545,20.69255697061859,37.12846564295379,unexecuted,,unexecuted,False,False,,,,,,,,,,,,,,,,,,False,,False,not_run,,,,,False,55.0,800000 main,,,,,unexecuted,,,,,new expansion,,,
protein:1o7j.a__1toh.a:a1|CPS-3F,56,protein,1o7j.a__1toh.a,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1toh.a.npz,5e6a2b9a37b78ae69edb4d6f22281db5d47f278893cbaca092fc6164e9b8337e,CPS-3F,1.0,18.95299827936545,20.69255697061859,37.12846564295379,unexecuted,,unexecuted,False,False,,,,,,,,,,,,,,,,,,False,,False,not_run,,,,,False,55.0,800000 main; 2000000 preprocessing,,,,,unexecuted,,,,,new expansion,,,
hurricane:EP111954__EP021984:a1|Independent continuous,61,hurricane,EP111954__EP021984,25,82,projected km,output\paper_v1\expanded_comparison\inputs\hurricane_EP111954__EP021984.npz,f6f69328452dbeb2c9b701abdb3760ce7a95f9de1a53ed1dcbd1261aa4023d20,Independent continuous,1.0,125.1823398311055,43.1763428808938,411.7453872318912,unexecuted,,unexecuted,False,False,,,,,,,,,,,,,,,,,,False,,False,not_run,,,,,False,,N/A,,,,,unexecuted,,,,,new expansion,,,
hurricane:EP111954__EP021984:a1|Independent discrete,62,hurricane,EP111954__EP021984,25,82,projected km,output\paper_v1\expanded_comparison\inputs\hurricane_EP111954__EP021984.npz,f6f69328452dbeb2c9b701abdb3760ce7a95f9de1a53ed1dcbd1261aa4023d20,Independent discrete,1.0,125.1823398311055,43.1763428808938,411.7453872318912,unexecuted,,unexecuted,False,False,,,,,,,,,,,,,,,,,,False,,False,not_run,,,,,False,,2000000 default,,,,,unexecuted,,,,,new expansion,,,
