curve_A,curve_B,name_A,year_A,name_B,year_B,basin,n_A,n_B,len_A_km,len_B_km,c_cube_A,c_cube_B,c_ball_A,c_ball_B,c_cube_pair,c_ball_pair,frechet_km,discrete_frechet_km,frechet_over_len
AL051934,AL091949,UNNAMED,1934,UNNAMED,1949,atlantic,27,27,1675.2,1440.6,3.2914,3.4033,2.7055,2.8702,3.4033,2.8702,490.34,489.52,0.3404
EP081978,EP101980,HECTOR,1978,JAVIER,1980,pacific,32,26,3427.7,2812.3,2.6082,2.6574,2.0779,2.0604,2.6574,2.0779,490.38,487.79,0.1744
EP102002,EP081995,HERNAN,2002,GIL,1995,pacific,31,28,2759.0,2562.3,2.7955,3.0351,2.1277,2.3445,3.0351,2.3445,490.57,488.26,0.1915
AL051876,AL061882,UNNAMED,1876,UNNAMED,1882,atlantic,49,45,3885.2,3762.9,2.6824,2.7515,2.1333,2.0935,2.7515,2.1333,490.77,488.12,0.1304
EP091975,EP031998,ILSA,1975,BLAS,1998,pacific,35,36,3702.5,4293.6,2.4431,2.6671,2.0773,2.0317,2.6671,2.0773,490.81,487.46,0.1326
EP041981,EP151989,DORA,1981,LORENA,1989,pacific,25,40,2550.6,3059.6,2.2209,2.6521,2.0216,2.0831,2.6521,2.0831,490.89,492.14,0.1925
EP032005,EP151967,CALVIN,2005,PRISCILLA,1967,pacific,30,27,3104.8,2883.9,2.7478,2.7901,2.3291,2.0918,2.7901,2.3291,490.91,488.3,0.1702
EP091985,EP072004,IGNACIO,1985,ESTELLE,2004,pacific,25,27,2664.6,2582.6,2.2806,2.8012,2.0266,2.0969,2.8012,2.0969,490.94,488.57,0.1901
EP031986,EP071984,CELIA,1986,GENEVIEVE,1984,pacific,25,30,2592.1,2415.4,2.7874,2.953,2.0621,2.2128,2.953,2.2128,491.0,488.92,0.2033
EP011958,EP191983,UNNAMED,1958,TICO,1983,pacific,41,34,2326.6,2626.9,3.2245,3.5646,2.7701,3.0303,3.5646,3.0303,491.21,489.84,0.2111
EP021981,EP062012,BEATRIZ,1981,FABIO,2012,pacific,25,40,2604.3,3584.5,2.8132,3.0897,2.1105,2.484,3.0897,2.484,491.63,489.49,0.1888
EP071981,EP201992,GREG,1981,ROSLYN,1992,pacific,38,69,3966.7,4957.5,2.6712,5.415,2.0763,4.7556,5.415,4.7556,491.72,488.16,0.124
EP062008,EP052011,ELIDA,2008,EUGENE,2011,pacific,41,44,5583.9,4964.3,2.1055,2.3789,2.0212,2.0682,2.3789,2.0682,491.76,487.09,0.0991
EP031975,EP111975,CARLOTTA,1975,KATRINA,1975,pacific,35,37,3223.3,3428.8,2.2725,2.8206,2.0371,2.1006,2.8206,2.1006,492.12,491.06,0.1527
EP081998,EP061992,GEORGETTE,1998,ESTELLE,1992,pacific,26,34,2484.7,3046.5,2.7905,2.9778,2.0273,2.2551,2.9778,2.2551,492.25,491.99,0.1981
EP121968,EP131987,LIZA,1968,MAX,1987,pacific,37,29,3210.0,2973.4,2.8112,2.9343,2.2138,2.1027,2.9343,2.2138,492.26,489.57,0.1656
AL061971,AL111972,BETH,1971,CARRIE,1972,atlantic,29,29,3308.3,2848.5,2.9265,2.944,2.1292,2.433,2.944,2.433,492.31,489.95,0.1728
EP081967,EP081998,ILSA,1967,GEORGETTE,1998,pacific,25,26,2807.9,2484.7,2.6302,2.7905,2.1478,2.0273,2.7905,2.1478,492.44,490.67,0.1982
EP102006,EP121968,ILEANA,2006,LIZA,1968,pacific,32,37,2634.7,3210.0,2.4888,2.8112,2.0755,2.2138,2.8112,2.2138,492.88,490.4,0.1871
EP081990,EP191985,GENEVIEVE,1990,TERRY,1985,pacific,35,37,3670.2,3239.6,2.6803,2.8053,2.0591,2.0796,2.8053,2.0796,492.91,489.95,0.1522
AL111898,AL031931,UNNAMED,1898,UNNAMED,1931,atlantic,35,34,3478.2,4088.4,2.0976,2.58,2.0065,2.0297,2.58,2.0297,493.09,489.78,0.1418
EP042006,EP092012,CARLOTTA,2006,ILEANA,2012,pacific,33,47,3342.9,4321.6,2.2134,2.9081,2.0248,2.1872,2.9081,2.1872,493.31,490.19,0.1476
EP041981,EP091972,DORA,1981,IVA,1972,pacific,25,33,2550.6,2969.9,2.2209,2.7878,2.0216,2.1127,2.7878,2.1127,493.43,490.96,0.1935
EP191982,EP101983,TARA,1982,JULIETTE,1983,pacific,27,31,3357.3,2490.7,2.8328,3.016,2.1091,2.2648,3.016,2.2648,493.46,491.23,0.1981
EP031975,EP131986,CARLOTTA,1975,MADELINE,1986,pacific,35,28,3223.3,3514.4,2.2725,3.1286,2.0371,2.6228,3.1286,2.6228,493.66,498.58,0.1532
AL101916,AL251967,UNNAMED,1916,HEIDI,1967,atlantic,35,54,4252.3,5852.2,3.3577,4.4107,2.6543,4.0705,4.4107,4.0705,493.74,492.33,0.1161
AL061947,AL071891,UNNAMED,1947,UNNAMED,1891,atlantic,27,25,3244.4,3447.3,2.7091,2.7368,2.2497,2.1716,2.7368,2.2497,493.82,491.58,0.1522
EP032013,EP041985,COSME,2013,DOLORES,1985,pacific,30,39,4003.0,4364.3,2.7199,2.7869,2.0488,2.1089,2.7869,2.1089,493.91,494.23,0.1234
EP071973,EP041965,GLENDA,1973,BERNICE,1965,pacific,25,31,2916.4,3270.7,2.6344,2.6861,2.1244,2.071,2.6861,2.1244,493.93,491.31,0.1694
EP081958,EP071954,UNNAMED,1958,UNNAMED,1954,pacific,27,25,1751.1,2035.8,2.153,2.8408,2.0223,2.3824,2.8408,2.3824,493.96,492.31,0.2821
EP071987,EP101980,GREG,1987,JAVIER,1980,pacific,28,26,2828.1,2812.3,2.6188,2.6574,2.1336,2.0604,2.6574,2.1336,494.0,491.41,0.1757
EP021969,EP091972,BERNICE,1969,IVA,1972,pacific,33,33,3454.0,2969.9,2.6418,2.7878,2.1403,2.1127,2.7878,2.1403,494.04,493.96,0.1663
EP071987,EP071978,GREG,1987,GILMA,1978,pacific,28,29,2828.1,3515.2,2.6188,2.737,2.1336,2.2197,2.737,2.2197,494.1,495.79,0.1747
EP131987,EP152001,MAX,1987,MANUEL,2001,pacific,29,31,2973.4,2919.0,2.9343,2.9444,2.1027,2.393,2.9444,2.393,494.16,495.54,0.1693
EP042011,EP112001,DORA,2011,JULIETTE,2001,pacific,33,48,3489.8,3777.4,2.726,2.8275,2.0708,2.3133,2.8275,2.3133,494.22,492.52,0.1416
AL031897,AL061899,UNNAMED,1897,UNNAMED,1899,atlantic,25,26,4070.7,5447.7,2.8259,3.2922,2.0383,2.4995,3.2922,2.4995,494.22,490.34,0.1214
EP021981,EP021949,BEATRIZ,1981,UNNAMED,1949,pacific,25,25,2604.3,1932.2,2.8132,2.8231,2.1105,2.1257,2.8231,2.1257,494.54,492.9,0.2559
EP101975,EP091975,JEWEL,1975,ILSA,1975,pacific,31,35,3215.6,3702.5,2.332,2.4431,2.0541,2.0773,2.4431,2.0773,494.55,491.49,0.1538
EP101980,EP212015,JAVIER,1980,RICK,2015,pacific,26,33,2812.3,2656.5,2.6574,3.0267,2.0604,2.7244,3.0267,2.7244,494.65,492.59,0.1862
EP151967,EP051973,PRISCILLA,1967,EMILY,1973,pacific,27,27,2883.9,3038.9,2.7901,2.8746,2.0918,2.0982,2.8746,2.0982,494.87,492.26,0.1716
EP021954,EP081954,UNNAMED,1954,UNNAMED,1954,pacific,25,27,2034.9,2334.9,2.5259,2.7349,2.0822,2.1917,2.7349,2.1917,495.28,493.79,0.2434
EP032000,EP011969,CARLOTTA,2000,AVA,1969,pacific,27,28,2846.7,2899.2,2.6326,3.0108,2.0333,2.3607,3.0108,2.3607,495.28,492.84,0.174
EP102006,EP101980,ILEANA,2006,JAVIER,1980,pacific,32,26,2634.7,2812.3,2.4888,2.6574,2.0755,2.0604,2.6574,2.0755,495.29,492.78,0.188
EP151967,EP091971,PRISCILLA,1967,ILSA,1971,pacific,27,35,2883.9,3497.7,2.7901,2.876,2.0918,2.1304,2.876,2.1304,495.29,500.57,0.1717
AL201971,AL151979,UNNAMED,1971,HENRI,1979,atlantic,33,39,2229.4,2554.9,3.4481,5.7076,3.0312,5.3905,5.7076,5.3905,495.43,494.71,0.2222
EP051988,EP031990,EMILIA,1988,CRISTINA,1990,pacific,25,32,2012.1,1859.8,2.7627,3.0752,2.1367,2.4099,3.0752,2.4099,495.51,494.27,0.2664
EP031968,EP101985,CELESTE,1968,JIMENA,1985,pacific,27,37,2831.4,3442.1,2.2915,2.8299,2.0375,2.0681,2.8299,2.0681,495.57,495.99,0.175
EP151989,EP051995,LORENA,1989,DALILA,1995,pacific,40,36,3059.6,2395.2,2.6521,2.7656,2.0831,2.2575,2.7656,2.2575,495.61,494.64,0.2069
AL122005,AL051995,KATRINA,2005,ERIN,1995,atlantic,34,30,3455.7,3304.1,3.2892,4.6484,2.4413,3.8769,4.6484,3.8769,495.65,495.38,0.15
EP172000,EP061970,OLIVIA,2000,GRETCHEN,1970,pacific,32,29,1858.6,1593.8,2.7196,2.8371,2.0964,2.2234,2.8371,2.2234,495.92,494.48,0.3112
EP081996,EP032014,ELIDA,1996,CRISTINA,2014,pacific,29,41,1737.1,2223.0,3.2483,5.2152,2.5362,4.3298,5.2152,4.3298,495.93,495.46,0.2855
AL051923,AL051962,UNNAMED,1923,ELLA,1962,atlantic,41,36,5959.1,5501.1,3.0114,3.1867,2.341,2.6051,3.1867,2.6051,496.21,491.65,0.0902
EP081965,EP162009,FLORENCE,1965,MARTY,2009,pacific,31,30,2685.9,2360.6,2.4369,2.8212,2.0298,2.051,2.8212,2.051,496.37,494.67,0.2103
AL061971,AL031908,BETH,1971,UNNAMED,1908,atlantic,29,43,3308.3,4302.1,2.9265,6.4259,2.1292,5.4654,6.4259,5.4654,496.38,493.47,0.15
EP032005,EP111983,CALVIN,2005,KIKO,1983,pacific,30,36,3104.8,2531.4,2.7478,2.8347,2.3291,2.0963,2.8347,2.3291,496.4,494.19,0.1961
EP102006,EP081995,ILEANA,2006,GIL,1995,pacific,32,28,2634.7,2562.3,2.4888,3.0351,2.0755,2.3445,3.0351,2.3445,496.44,494.32,0.1937
AL081979,AL031943,UNNAMED,1979,UNNAMED,1943,atlantic,25,34,5430.5,5677.5,2.8962,2.9264,2.2041,2.1688,2.9264,2.2041,496.53,503.64,0.0914
EP121982,EP051979,LANE,1982,ENRIQUE,1979,pacific,26,29,3382.9,2719.3,2.4314,2.8486,2.0316,2.0898,2.8486,2.0898,496.57,494.08,0.1826
EP061982,EP212015,FABIO,1982,RICK,2015,pacific,32,33,3229.7,2656.5,2.8377,3.0267,2.0413,2.7244,3.0267,2.7244,496.64,494.48,0.187
EP031968,EP092000,CELESTE,1968,GILMA,2000,pacific,27,25,2831.4,2151.0,2.2915,2.8266,2.0375,2.0738,2.8266,2.0738,496.74,494.69,0.2309
EP101989,EP182014,GIL,1989,RACHEL,2014,pacific,27,36,2425.7,2266.9,2.8082,5.7717,2.0463,5.3855,5.7717,5.3855,496.84,497.63,0.2192
EP092000,EP061970,GILMA,2000,GRETCHEN,1970,pacific,25,29,2151.0,1593.8,2.8266,2.8371,2.0738,2.2234,2.8371,2.2234,496.85,495.53,0.3117
EP092000,EP101983,GILMA,2000,JULIETTE,1983,pacific,25,31,2151.0,2490.7,2.8266,3.016,2.0738,2.2648,3.016,2.2648,496.95,495.76,0.231
AL021895,AL061931,UNNAMED,1895,UNNAMED,1931,atlantic,36,28,4597.7,4219.4,2.738,2.7662,2.0165,2.0226,2.7662,2.0226,496.98,493.09,0.1178
EP012001,EP042013,ADOLPH,2001,DALILA,2013,pacific,29,40,1716.0,2195.3,4.4047,4.8817,3.95,4.3965,4.8817,4.3965,497.01,496.39,0.2896
EP041953,EP041991,UNNAMED,1953,DELORES,1991,pacific,25,26,1778.2,1707.7,2.8063,3.0593,2.0843,2.6756,3.0593,2.6756,497.07,495.84,0.2911
AL111950,AL051950,KING,1950,EASY,1950,atlantic,31,38,2550.7,2646.5,2.7572,4.8203,2.3058,3.7935,4.8203,3.7935,497.08,497.42,0.1949
EP131990,EP091998,JULIO,1990,HOWARD,1998,pacific,32,40,4291.8,4244.9,2.1848,2.7162,2.0464,2.1645,2.7162,2.1645,497.13,493.21,0.1171
EP041981,EP101983,DORA,1981,JULIETTE,1983,pacific,25,31,2550.6,2490.7,2.2209,3.016,2.0216,2.2648,3.016,2.2648,497.43,495.41,0.1997
EP051995,EP061992,DALILA,1995,ESTELLE,1992,pacific,36,34,2395.2,3046.5,2.7656,2.9778,2.2575,2.2551,2.9778,2.2575,497.43,498.73,0.2077
EP021991,EP011970,BLANCA,1991,ADELE,1970,pacific,30,31,3089.1,3614.8,2.1791,2.3398,2.0425,2.0493,2.3398,2.0493,497.47,494.55,0.161
AL031879,AL031905,UNNAMED,1879,UNNAMED,1905,atlantic,25,28,3285.7,2514.7,2.736,2.8685,2.1627,2.2468,2.8685,2.2468,497.48,495.61,0.1978
EP102002,EP072007,HERNAN,2002,DALILA,2007,pacific,31,34,2759.0,2513.5,2.7955,2.8999,2.1277,2.3392,2.8999,2.3392,497.56,496.59,0.198
EP081980,EP182014,HOWARD,1980,RACHEL,2014,pacific,30,36,2637.3,2266.9,2.8224,5.7717,2.0695,5.3855,5.7717,5.3855,497.65,495.9,0.2195
AL091932,AL111898,UNNAMED,1932,UNNAMED,1898,atlantic,31,35,3844.6,3478.2,2.0719,2.0976,2.0083,2.0065,2.0976,2.0083,497.66,494.29,0.1431
EP081999,EP101982,EUGENE,1999,JOHN,1982,pacific,39,35,4659.6,4162.5,2.2293,2.324,2.0466,2.0184,2.324,2.0466,497.72,493.8,0.1196
EP111983,EP071972,KIKO,1983,GWEN,1972,pacific,36,37,2531.4,3423.8,2.8347,2.8603,2.0963,2.1205,2.8603,2.1205,497.97,495.64,0.1967
EP041976,EP161974,DIANA,1976,PATRICIA,1974,pacific,30,43,4851.4,4820.8,2.2208,2.8964,2.0265,2.4476,2.8964,2.4476,497.98,493.66,0.1033
AL201971,AL011994,UNNAMED,1971,ALBERTO,1994,atlantic,33,32,2229.4,2008.9,3.4481,5.0954,3.0312,4.3903,5.0954,4.3903,497.99,497.1,0.2479
AL031904,AL221971,UNNAMED,1904,LAURA,1971,atlantic,28,39,1740.2,2451.4,2.6796,5.4142,2.0814,4.5027,5.4142,4.5027,498.03,497.59,0.2862
EP071978,EP072008,GILMA,1978,FAUSTO,2008,pacific,29,33,3515.2,3796.9,2.737,2.8177,2.2197,2.0514,2.8177,2.2197,498.14,494.96,0.1417
EP061968,EP171985,FERNANDA,1968,RICK,1985,pacific,41,45,4586.5,5065.2,2.8185,2.8364,2.3866,2.1969,2.8364,2.3866,498.15,497.26,0.1086
EP101975,EP151989,JEWEL,1975,LORENA,1989,pacific,31,40,3215.6,3059.6,2.332,2.6521,2.0541,2.0831,2.6521,2.0831,498.15,500.59,0.1628
EP032006,EP102004,BUD,2006,GEORGETTE,2004,pacific,27,33,3850.8,4364.6,2.329,2.4515,2.0073,2.0278,2.4515,2.0278,498.27,494.66,0.1294
EP041976,EP111968,DIANA,1976,KATHLEEN,1968,pacific,30,41,4851.4,4830.7,2.2208,2.5014,2.0265,2.0933,2.5014,2.0933,498.28,499.19,0.1031
EP131974,EP061970,MAGGIE,1974,GRETCHEN,1970,pacific,27,29,1971.7,1593.8,2.7761,2.8371,2.0592,2.2234,2.8371,2.2234,498.36,496.98,0.3127
EP081999,EP161990,EUGENE,1999,MARIE,1990,pacific,39,55,4659.6,4374.9,2.2293,2.6101,2.0466,2.1778,2.6101,2.1778,498.36,494.57,0.1139
AL051950,AL011994,EASY,1950,ALBERTO,1994,atlantic,38,32,2646.5,2008.9,4.8203,5.0954,3.7935,4.3903,5.0954,4.3903,498.4,498.29,0.2481
EP092007,EP121984,FLOSSIE,2007,LALA,1984,pacific,32,41,3900.1,3920.0,2.4985,2.8581,2.0438,2.1383,2.8581,2.1383,498.5,494.97,0.1278
EP011970,EP011973,ADELE,1970,AVA,1973,pacific,31,43,3614.8,4230.9,2.3398,2.6463,2.0493,2.2613,2.6463,2.2613,498.58,495.16,0.1379
EP012011,EP012002,ADRIAN,2011,ALMA,2002,pacific,30,31,2275.3,2231.6,3.1479,3.3669,2.6988,2.7706,3.3669,2.7706,498.92,498.52,0.2236
EP081980,EP092000,HOWARD,1980,GILMA,2000,pacific,30,25,2637.3,2151.0,2.8224,2.8266,2.0695,2.0738,2.8266,2.0738,499.08,501.23,0.232
EP131970,EP062011,MAGGIE,1970,FERNANDA,2011,pacific,27,29,3153.9,3070.1,2.2078,2.6547,2.0154,2.0869,2.6547,2.0869,499.18,496.3,0.1626
EP102002,EP212015,HERNAN,2002,RICK,2015,pacific,31,33,2759.0,2656.5,2.7955,3.0267,2.1277,2.7244,3.0267,2.7244,499.39,497.39,0.188
AL021880,AL031910,UNNAMED,1880,UNNAMED,1910,atlantic,45,44,5025.2,4569.1,2.8083,2.8377,2.1374,2.0422,2.8377,2.1374,499.4,495.38,0.1093
EP071978,EP131987,GILMA,1978,MAX,1987,pacific,29,29,3515.2,2973.4,2.737,2.9343,2.2197,2.1027,2.9343,2.2197,499.42,496.77,0.168
EP031988,EP092000,CARLOTTA,1988,GILMA,2000,pacific,28,25,2785.9,2151.0,2.411,2.8266,2.065,2.0738,2.8266,2.0738,499.49,497.52,0.2322
EP101985,EP061982,JIMENA,1985,FABIO,1982,pacific,37,32,3442.1,3229.7,2.8299,2.8377,2.0681,2.0413,2.8377,2.0681,499.55,496.7,0.1547
EP102006,EP092000,ILEANA,2006,GILMA,2000,pacific,32,25,2634.7,2151.0,2.4888,2.8266,2.0755,2.0738,2.8266,2.0755,499.58,497.55,0.2323
EP122007,EP081996,IVO,2007,ELIDA,1996,pacific,28,29,1752.5,1737.1,3.091,3.2483,2.4102,2.5362,3.2483,2.5362,499.93,498.92,0.2878
EP111985,EP111975,KEVIN,1985,KATRINA,1975,pacific,36,37,3463.1,3428.8,2.5263,2.8206,2.0471,2.1006,2.8206,2.1006,499.95,496.83,0.1458
EP131985,EP071990,MARTY,1985,FAUSTO,1990,pacific,29,28,2793.0,2874.0,2.6219,2.8029,2.0863,2.0342,2.8029,2.0863,499.98,499.38,0.179
EP131974,EP111995,MAGGIE,1974,JULIETTE,1995,pacific,27,41,1971.7,2380.4,2.7761,4.4299,2.0592,3.7224,4.4299,3.7224,500.16,499.11,0.2537
EP052012,EP081992,EMILIA,2012,GEORGETTE,1992,pacific,44,48,6048.2,6843.9,2.1299,2.2708,2.0106,2.0738,2.2708,2.0738,500.43,494.61,0.0827
EP051990,EP091995,ELIDA,1990,HENRIETTE,1995,pacific,26,29,3108.3,2968.8,2.5768,3.0336,2.0222,2.1887,3.0336,2.1887,500.55,498.23,0.1686
EP131971,EP141967,MONICA,1971,OLIVIA,1967,pacific,29,37,1786.1,2259.8,2.8781,2.9693,2.2595,2.6987,2.9693,2.6987,500.56,500.26,0.2803
EP042014,EP152015,DOUGLAS,2014,LINDA,2015,pacific,42,40,2709.5,2904.4,2.861,4.1596,2.0793,4.0,4.1596,4.0,500.56,498.09,0.1847
EP121968,EP091971,LIZA,1968,ILSA,1971,pacific,37,35,3210.0,3497.7,2.8112,2.876,2.2138,2.1304,2.876,2.2138,500.59,501.02,0.1559
EP041983,EP121968,DALILIA,1983,LIZA,1968,pacific,26,37,3053.3,3210.0,2.6498,2.8112,2.0481,2.2138,2.8112,2.2138,500.62,501.76,0.164
EP031988,EP141991,CARLOTTA,1988,LINDA,1991,pacific,28,42,2785.9,2907.1,2.411,2.8388,2.065,2.3671,2.8388,2.3671,500.64,498.37,0.1797
EP191985,EP062006,TERRY,1985,EMILIA,2006,pacific,37,41,3239.6,3547.6,2.8053,3.0499,2.0796,2.4644,3.0499,2.4644,500.79,500.65,0.1546
AL061898,AL031926,UNNAMED,1898,UNNAMED,1926,atlantic,35,31,2931.7,3397.9,2.6482,2.8302,2.1255,2.2873,2.8302,2.2873,500.92,498.47,0.1709
EP031975,EP072011,CARLOTTA,1975,GREG,2011,pacific,35,26,3223.3,3069.5,2.2725,2.2809,2.0371,2.0218,2.2809,2.0371,500.92,505.27,0.1632
EP062011,EP091974,FERNANDA,2011,IONE,1974,pacific,29,42,3070.1,3636.5,2.6547,3.9162,2.0869,3.4584,3.9162,3.4584,500.99,501.27,0.1632
AL061971,AL011962,BETH,1971,ALMA,1962,atlantic,29,30,3308.3,4165.7,2.9265,6.2304,2.1292,5.3661,6.2304,5.3661,501.05,498.28,0.1515
EP032006,EP071992,BUD,2006,FRANK,1992,pacific,27,42,3850.8,4585.7,2.329,2.7802,2.0073,2.2598,2.7802,2.2598,501.27,497.61,0.1302
EP031991,EP041992,CARLOS,1991,CELIA,1992,pacific,45,50,4480.9,4767.8,2.2153,2.7584,2.0679,2.1205,2.7584,2.1205,501.29,504.56,0.1119
EP131990,EP081991,JULIO,1990,GUILLERMO,1991,pacific,32,28,4291.8,3900.0,2.1848,2.2427,2.0464,2.0199,2.2427,2.0464,501.36,497.68,0.1286
AL061916,AL042003,UNNAMED,1916,CLAUDETTE,2003,atlantic,33,45,5568.9,6434.7,2.7633,2.9949,2.0637,2.2977,2.9949,2.2977,501.56,496.46,0.0901
EP112007,EP152008,HENRIETTE,2007,NORBERT,2008,pacific,30,38,2676.4,3055.0,2.6406,2.9089,2.103,2.3288,2.9089,2.3288,501.71,501.19,0.1875
EP091975,EP081978,ILSA,1975,HECTOR,1978,pacific,35,32,3702.5,3427.7,2.4431,2.6082,2.0773,2.0779,2.6082,2.0779,501.84,498.59,0.1464
EP041978,EP191984,DANIEL,1978,SIMON,1984,pacific,29,33,4135.6,3895.8,2.4797,2.8192,2.0329,2.1999,2.8192,2.1999,501.92,498.26,0.1288
EP121982,EP141990,LANE,1982,KENNA,1990,pacific,26,35,3382.9,3297.7,2.4314,4.3385,2.0316,4.0,4.3385,4.0,501.93,499.32,0.1522
EP071982,EP061988,GILMA,1982,FABIO,1988,pacific,28,49,4706.1,4813.3,2.6626,2.7686,2.0205,2.0729,2.7686,2.0729,502.26,497.73,0.1067
EP091984,EP071972,ISELLE,1984,GWEN,1972,pacific,36,37,3422.5,3423.8,2.8124,2.8603,2.0841,2.1205,2.8603,2.1205,502.27,500.71,0.1468
EP132011,EP101976,KENNETH,2011,JOANNE,1976,pacific,31,41,3644.0,4340.3,2.2055,3.7182,2.0474,3.1734,3.7182,3.1734,502.28,498.78,0.1378
EP111983,EP051973,KIKO,1983,EMILY,1973,pacific,36,27,2531.4,3038.9,2.8347,2.8746,2.0963,2.0982,2.8746,2.0982,502.28,502.61,0.1984
EP031991,EP181982,CARLOS,1991,SERGIO,1982,pacific,45,40,4480.9,4695.8,2.2153,2.4564,2.0679,2.0487,2.4564,2.0679,502.42,498.2,0.1121
EP041979,EP042014,DOLORES,1979,DOUGLAS,2014,pacific,27,42,3344.6,2709.5,2.8028,2.861,2.0829,2.0793,2.861,2.0829,503.1,503.41,0.1857
EP041985,EP041966,DOLORES,1985,DOLORES,1966,pacific,39,38,4364.3,4065.1,2.7869,3.6252,2.1089,2.7822,3.6252,2.7822,503.17,499.56,0.1238
EP072011,EP121968,GREG,2011,LIZA,1968,pacific,26,37,3069.5,3210.0,2.2809,2.8112,2.0218,2.2138,2.8112,2.2138,503.29,501.56,0.164
AL041865,AL011918,UNNAMED,1865,UNNAMED,1918,atlantic,37,28,5093.3,5091.7,2.7947,2.802,2.1844,2.0787,2.802,2.1844,503.35,499.45,0.0989
AL141933,AL021878,UNNAMED,1933,UNNAMED,1878,atlantic,38,45,4759.0,4466.6,2.7187,2.824,2.0314,2.1208,2.824,2.1208,503.42,499.43,0.1127
AL041851,AL122000,UNNAMED,1851,HELENE,2000,atlantic,49,42,8284.2,8408.8,3.2659,3.4624,2.7592,2.8493,3.4624,2.8493,503.5,499.68,0.0608
EP011973,EP191984,AVA,1973,SIMON,1984,pacific,43,33,4230.9,3895.8,2.6463,2.8192,2.2613,2.1999,2.8192,2.2613,503.6,499.94,0.1293
EP051995,EP141997,DALILA,1995,LINDA,1997,pacific,36,34,2395.2,2843.1,2.7656,2.7992,2.2575,2.0408,2.7992,2.2575,503.66,503.63,0.2103
AL011970,AL111964,ALMA,1970,ISBELL,1964,atlantic,39,35,3879.4,3349.8,4.5904,5.1412,3.8034,4.4715,5.1412,4.4715,503.86,503.68,0.1504
EP102002,EP081980,HERNAN,2002,HOWARD,1980,pacific,31,30,2759.0,2637.3,2.7955,2.8224,2.1277,2.0695,2.8224,2.1277,504.02,501.91,0.1911
EP011969,EP141998,AVA,1969,LESTER,1998,pacific,28,47,2899.2,2956.3,3.0108,3.8813,2.3607,3.4825,3.8813,3.4825,504.43,504.18,0.174
EP072008,EP092011,FAUSTO,2008,HILARY,2011,pacific,33,50,3796.9,3814.6,2.8177,3.078,2.0514,2.4882,3.078,2.4882,504.62,504.21,0.1329
EP032000,EP021984,CARLOTTA,2000,BORIS,1984,pacific,27,82,2846.7,3497.3,2.6326,5.3132,2.0333,4.6325,5.3132,4.6325,504.71,506.82,0.1773
AL041944,AL041941,UNNAMED,1944,UNNAMED,1941,atlantic,32,29,4307.1,4042.3,2.5154,2.6233,2.0442,2.07,2.6233,2.07,504.88,507.52,0.1249
AL061879,AL021950,UNNAMED,1879,BAKER,1950,atlantic,33,60,4511.0,5607.3,2.784,3.0523,2.1031,2.4276,3.0523,2.4276,505.04,502.5,0.112
EP192014,EP062012,SIMON,2014,FABIO,2012,pacific,35,40,2992.3,3584.5,3.0425,3.0897,2.5536,2.484,3.0897,2.5536,505.85,505.07,0.1691
EP022012,EP191983,BUD,2012,TICO,1983,pacific,25,34,2039.8,2626.9,2.9769,3.5646,2.4497,3.0303,3.5646,3.0303,506.64,507.14,0.2484
EP152001,EP182014,MANUEL,2001,RACHEL,2014,pacific,31,36,2919.0,2266.9,2.9444,5.7717,2.393,5.3855,5.7717,5.3855,506.69,506.58,0.2235
EP111993,EP041965,JOVA,1993,BERNICE,1965,pacific,32,31,2920.1,3270.7,2.2906,2.6861,2.0346,2.071,2.6861,2.071,506.89,505.78,0.1736
EP071978,EP121991,GILMA,1978,JIMENA,1991,pacific,29,46,3515.2,3878.5,2.737,2.8339,2.2197,2.121,2.8339,2.2197,507.16,512.1,0.1443
AL061885,AL051912,UNNAMED,1885,UNNAMED,1912,atlantic,37,30,2146.3,2486.7,3.1883,6.6223,2.7176,6.0121,6.6223,6.0121,507.39,506.5,0.2364
EP122007,EP042013,IVO,2007,DALILA,2013,pacific,28,40,1752.5,2195.3,3.091,4.8817,2.4102,4.3965,4.8817,4.3965,507.95,508.32,0.2898
AL061906,AL021916,UNNAMED,1906,UNNAMED,1916,atlantic,45,51,3732.9,3430.4,3.1362,3.7624,2.7529,3.145,3.7624,3.145,508.16,507.19,0.1481
EP031986,EP141971,CELIA,1986,NANETTE,1971,pacific,25,27,2592.1,2785.4,2.7874,2.9325,2.0621,2.1728,2.9325,2.1728,508.68,508.4,0.1962
AL041911,AL051942,UNNAMED,1911,UNNAMED,1942,atlantic,38,32,4091.5,3535.6,2.137,2.2072,2.0209,2.0059,2.2072,2.0209,509.13,508.15,0.144
EP032005,EP101990,CALVIN,2005,ISELLE,1990,pacific,30,38,3104.8,3312.3,2.7478,3.3338,2.3291,2.8177,3.3338,2.8177,509.28,512.53,0.164
EP102002,EP111983,HERNAN,2002,KIKO,1983,pacific,31,36,2759.0,2531.4,2.7955,2.8347,2.1277,2.0963,2.8347,2.1277,509.69,508.15,0.2013
EP101989,EP021981,GIL,1989,BEATRIZ,1981,pacific,27,25,2425.7,2604.3,2.8082,2.8132,2.0463,2.1105,2.8132,2.1105,509.72,508.73,0.2101
AL111950,AL172008,KING,1950,PALOMA,2008,atlantic,31,35,2550.7,2803.1,2.7572,5.5955,2.3058,4.4116,5.5955,4.4116,509.94,508.63,0.1999
