curve_A,curve_B,name_A,year_A,name_B,year_B,basin,n_A,n_B,len_A_km,len_B_km,c_cube_A,c_cube_B,c_ball_A,c_ball_B,c_cube_pair,c_ball_pair,frechet_km,discrete_frechet_km,frechet_over_len
EP181982,EP031998,SERGIO,1982,BLAS,1998,pacific,40,36,4695.8,4293.6,2.4564,2.6671,2.0487,2.0317,2.6671,2.0487,362.51,358.51,0.0844
EP101983,EP171994,JULIETTE,1983,OLIVIA,1994,pacific,31,31,2490.7,2470.6,3.016,4.5709,2.2648,4.095,4.5709,4.095,362.62,363.44,0.1468
EP151982,EP131983,OLIVIA,1982,MANUEL,1983,pacific,29,34,3481.5,3296.2,2.7446,2.7713,2.2484,2.1528,2.7713,2.2484,362.88,365.59,0.1101
EP141998,EP011976,LESTER,1998,ANNETTE,1976,pacific,47,44,2956.3,2765.1,3.8813,4.5613,3.4825,4.0,4.5613,4.0,363.24,360.94,0.1314
EP021969,EP191982,BERNICE,1969,TARA,1982,pacific,33,27,3454.0,3357.3,2.6418,2.8328,2.1403,2.1091,2.8328,2.1403,363.34,360.48,0.1082
EP052001,EP101990,DALILA,2001,ISELLE,1990,pacific,31,38,3162.7,3312.3,2.2173,3.3338,2.0093,2.8177,3.3338,2.8177,363.47,362.86,0.1149
EP041991,EP012001,DELORES,1991,ADOLPH,2001,pacific,26,29,1707.7,1716.0,3.0593,4.4047,2.6756,3.95,4.4047,3.95,363.63,362.7,0.2129
EP031975,EP041983,CARLOTTA,1975,DALILIA,1983,pacific,35,26,3223.3,3053.3,2.2725,2.6498,2.0371,2.0481,2.6498,2.0481,364.14,361.33,0.1193
EP151967,EP231990,PRISCILLA,1967,TRUDY,1990,pacific,27,67,2883.9,3867.9,2.7901,6.0575,2.0918,5.801,6.0575,5.801,364.4,365.92,0.1264
EP131970,EP092007,MAGGIE,1970,FLOSSIE,2007,pacific,27,32,3153.9,3900.1,2.2078,2.4985,2.0154,2.0438,2.4985,2.0438,364.76,361.7,0.1157
EP031988,EP151967,CARLOTTA,1988,PRISCILLA,1967,pacific,28,27,2785.9,2883.9,2.411,2.7901,2.065,2.0918,2.7901,2.0918,364.81,364.95,0.1309
EP101983,EP212015,JULIETTE,1983,RICK,2015,pacific,31,33,2490.7,2656.5,3.016,3.0267,2.2648,2.7244,3.0267,2.7244,365.0,364.07,0.1465
EP122003,EP142005,LINDA,2003,NORMA,2005,pacific,38,33,1942.6,1963.6,3.0414,3.1656,2.4099,2.6365,3.1656,2.6365,365.04,364.0,0.1879
EP141987,EP122007,NORMA,1987,IVO,2007,pacific,25,28,1383.8,1752.5,2.7957,3.091,2.2892,2.4102,3.091,2.4102,365.47,364.42,0.2641
EP111985,EP031994,KEVIN,1985,CARLOTTA,1994,pacific,36,29,3463.1,3133.7,2.5263,2.601,2.0471,2.0157,2.601,2.0471,365.52,362.67,0.1166
EP081987,EP072008,HILARY,1987,FAUSTO,2008,pacific,35,33,3655.6,3796.9,2.6461,2.8177,2.0357,2.0514,2.8177,2.0514,365.57,362.08,0.1
EP081993,EP032013,GREG,1993,COSME,2013,pacific,56,30,4354.3,4003.0,2.5891,2.7199,2.2162,2.0488,2.7199,2.2162,366.93,363.26,0.0917
EP041981,EP031965,DORA,1981,AVA,1965,pacific,25,25,2550.6,2338.0,2.2209,2.305,2.0216,2.0339,2.305,2.0339,367.58,365.4,0.1572
EP151982,EP191985,OLIVIA,1982,TERRY,1985,pacific,29,37,3481.5,3239.6,2.7446,2.8053,2.2484,2.0796,2.8053,2.2484,367.89,365.16,0.1136
