id,name,year,basin,n,length_km,extent_km,c_cube,c_ball
AL011907,UNNAMED,1907,atlantic,27,4808.92,3889.41,3.2222,2.6107
AL072004,GASTON,2004,atlantic,28,5050.52,4717.58,3.2224,2.554
AL051913,UNNAMED,1913,atlantic,36,2357.51,1631.08,3.2224,3.015
AL051996,EDOUARD,1996,atlantic,73,10073.94,6708.88,3.2231,2.9035
EP011958,UNNAMED,1958,pacific,41,2326.57,1913.61,3.2245,2.7701
AL091898,UNNAMED,1898,atlantic,51,5778.56,3830.24,3.2306,2.5719
AL021882,UNNAMED,1882,atlantic,47,6181.64,4254.08,3.2329,3.014
AL031958,CLEO,1958,atlantic,47,9621.56,5569.74,3.2362,2.6376
AL021964,UNNAMED,1964,atlantic,26,5916.85,4405.54,3.2381,2.5909
AL061886,UNNAMED,1886,atlantic,52,6901.25,4314.33,3.2385,2.4956
AL121973,ELLEN,1973,atlantic,37,7795.53,6084.45,3.2404,2.6566
AL011883,UNNAMED,1883,atlantic,44,7782.72,5930.47,3.2413,2.7683
EP171990,NORBERT,1990,pacific,39,2872.98,2438.35,3.2445,2.4441
AL182011,RINA,2011,atlantic,31,1667.22,1231.29,3.2447,2.8272
AL051899,UNNAMED,1899,atlantic,52,7647.1,5637.86,3.2465,2.6084
EP081996,ELIDA,1996,pacific,29,1737.08,1630.11,3.2483,2.5362
AL101903,UNNAMED,1903,atlantic,35,4000.3,3039.89,3.2505,2.7892
AL132002,LILI,2002,atlantic,57,6719.15,5713.49,3.2532,2.496
AL081901,UNNAMED,1901,atlantic,44,7032.36,4628.13,3.2536,3.0848
AL041901,UNNAMED,1901,atlantic,71,7018.49,5296.22,3.2556,2.7111
AL131995,LUIS,1995,atlantic,66,10117.22,7235.99,3.2587,2.609
AL051891,UNNAMED,1891,atlantic,44,4849.89,3288.46,3.2591,2.5914
EP192015,OLAF,2015,pacific,55,5645.71,3771.24,3.2652,3.164
AL041851,UNNAMED,1851,atlantic,49,8284.21,5494.05,3.2659,2.7592
AL051960,DONNA,1960,atlantic,72,11378.71,8217.37,3.2682,2.613
AL211995,TANYA,1995,atlantic,29,5167.7,4339.64,3.2693,2.5546
EP211989,RAYMOND,1989,pacific,46,4109.55,2959.52,3.2696,2.5975
EP152006,NORMAN,2006,pacific,28,2304.04,1649.51,3.2741,2.7972
AL031940,UNNAMED,1940,atlantic,38,3458.71,2812.84,3.2755,2.7612
AL051856,UNNAMED,1856,atlantic,40,5759.78,3954.91,3.2783,3.1491
AL051904,UNNAMED,1904,atlantic,27,5260.42,4255.87,3.2813,2.823
AL031924,UNNAMED,1924,atlantic,50,7328.27,5726.3,3.2818,2.5737
AL131959,UNNAMED,1959,atlantic,30,4312.96,3798.44,3.2824,2.6777
AL131975,ELOISE,1975,atlantic,47,5774.55,4295.95,3.2855,2.7232
AL081996,HORTENSE,1996,atlantic,53,7346.99,4802.6,3.289,2.445
AL122005,KATRINA,2005,atlantic,34,3455.73,2408.23,3.2892,2.4413
AL051934,UNNAMED,1934,atlantic,27,1675.2,1355.01,3.2914,2.7055
AL061899,UNNAMED,1899,atlantic,26,5447.74,5017.92,3.2922,2.4995
EP011997,ANDRES,1997,pacific,26,1620.41,1069.07,3.2956,2.9982
AL031987,UNNAMED,1987,atlantic,32,1973.98,1385.7,3.3029,2.6799
AL131985,KATE,1985,atlantic,34,4615.29,2779.4,3.3032,3.2484
AL091951,HOW,1951,atlantic,53,11525.18,9502.27,3.3068,2.5475
AL181981,IRENE,1981,atlantic,48,8835.3,6122.84,3.3068,2.8421
AL031933,UNNAMED,1933,atlantic,55,5806.12,4281.63,3.3073,2.6841
AL141975,FAYE,1975,atlantic,46,7385.58,4366.98,3.3175,2.6672
AL101981,DENNIS,1981,atlantic,60,9548.15,6539.84,3.3204,3.0808
EP152009,LINDA,2009,pacific,38,2032.39,1730.21,3.322,2.5784
AL092008,IKE,2008,atlantic,62,9525.88,6606.58,3.3223,3.1308
EP102011,JOVA,2011,pacific,30,2172.94,1560.4,3.3277,3.1284
EP101990,ISELLE,1990,pacific,38,3312.29,3247.84,3.3338,2.8177
AL041961,DEBBIE,1961,atlantic,40,7785.73,5581.69,3.335,2.8635
