domain,pair,nA,nB,eligible,selection_rank,selected
hurricane,EP121989__EP181985,45,46,True,,False
hurricane,EP111985__EP021969,36,33,True,,False
hurricane,EP041985__EP061981,39,27,True,,False
hurricane,EP051990__EP121968,26,37,True,,False
hurricane,EP071987__EP072007,28,34,True,,False
hurricane,EP021954__EP102008,25,41,True,,False
hurricane,EP021969__EP121991,33,46,True,,False
hurricane,EP051979__EP011980,29,28,True,,False
hurricane,EP041965__EP051973,31,27,True,,False
hurricane,AL041944__AL061931,32,28,True,,False
hurricane,AL121893__AL161984,32,56,True,,False
hurricane,EP021949__EP131971,25,29,True,,False
hurricane,EP142003__EP111998,28,33,True,,False
hurricane,EP031968__EP141997,27,34,True,,False
hurricane,EP131985__EP032004,29,28,True,,False
hurricane,EP072010__EP111988,26,34,True,,False
hurricane,AL081967__AL161967,25,33,True,,False
hurricane,EP081967__EP101985,25,37,True,,False
hurricane,EP072011__EP092011,26,50,True,,False
hurricane,EP072011__EP091975,26,35,True,,False
hurricane,EP052001__EP032005,31,30,True,,False
hurricane,AL021895__AL031910,36,44,True,,False
hurricane,EP012003__EP031995,28,42,True,,False
hurricane,EP041981__EP081967,25,25,True,,False
hurricane,EP061970__EP101996,29,46,True,,False
hurricane,AL041857__AL031910,29,44,True,,False
hurricane,EP101980__EP121968,26,37,True,,False
hurricane,EP061987__EP091985,30,25,True,,False
hurricane,EP011957__EP071991,45,40,True,,False
hurricane,EP072011__EP051990,26,26,True,,False
hurricane,EP072007__EP031984,34,36,True,,False
hurricane,AL061885__AL011860,37,35,True,,False
hurricane,EP091990__EP061981,47,27,True,,False
hurricane,EP042006__EP081978,33,32,True,,False
hurricane,EP131994__EP101978,30,50,True,,False
hurricane,EP051995__EP092000,36,25,True,,False
hurricane,EP111995__EP032014,41,41,True,,False
hurricane,AL061936__AL051939,31,30,True,,False
hurricane,EP072011__EP091971,26,35,True,,False
hurricane,EP032004__EP151985,28,38,True,,False
hurricane,EP191985__EP101990,37,38,True,,False
hurricane,EP101983__EP072012,31,33,True,,False
hurricane,EP161968__EP091993,31,42,True,,False
hurricane,EP051995__EP141991,36,42,True,,False
hurricane,EP151989__EP091972,40,33,True,,False
hurricane,EP212014__EP031974,27,61,True,,False
hurricane,AL061909__AL031910,34,44,True,,False
hurricane,EP102006__EP102002,32,31,True,,False
hurricane,EP031975__EP111985,35,36,True,,False
hurricane,EP082005__EP072008,34,33,True,,False
hurricane,EP031975__EP071978,35,29,True,,False
hurricane,EP091965__EP141990,37,35,True,,False
hurricane,EP082005__EP091976,34,37,True,,False
hurricane,EP071978__EP061982,29,32,True,,False
hurricane,EP071984__EP132009,30,39,True,,False
hurricane,EP061997__EP081971,30,49,True,,False
hurricane,EP081954__EP032010,27,32,True,,False
hurricane,EP051995__EP171994,36,31,True,,False
hurricane,EP091976__EP092011,37,50,True,,False
hurricane,EP102002__EP042014,31,42,True,,False
hurricane,EP101980__EP051995,26,36,True,,False
hurricane,EP041981__EP212015,25,33,True,,False
hurricane,EP101985__EP151985,37,38,True,,False
hurricane,EP172000__EP031984,32,36,True,,False
hurricane,AL022009__AL102008,26,33,True,,False
hurricane,AL061909__AL041857,34,29,True,,False
hurricane,EP081958__EP031965,27,25,True,,False
hurricane,EP191968__EP121993,33,50,True,,False
hurricane,EP152009__EP062015,38,38,True,,False
hurricane,EP121988__EP081976,38,31,True,,False
hurricane,EP131983__EP052015,34,45,True,,False
