pair,pair_alias,fidelity,baseline_k,joint_k,delta_k,baseline_coupling_ratio,joint_coupling_ratio,equal_k_coupling_repair,baseline_source,joint_source
EP041976__EP041984,S6,continuous,6.0,6.0,0.0,1.8964137401774148,0.9844367664265813,True,output\paper_v1\hurricane_final_20\slots\24\attempts\final20_24_d3470a252d2145ca9c41c4fcf7aa442b,output\paper_v1\hurricane_final_20\slots\22\attempts\final20_22_2aadd96ecd56487888d5543761e41814
EP041976__EP041984,S6,discrete,46.0,46.0,0.0,1.0,1.0,False,output\paper_v1\hurricane_final_20\slots\21\attempts\final20_21_195f4b6c144744ffa35f95f208986226,output\paper_v1\hurricane_final_20\slots\23\attempts\final20_23_0892021af506422ebb7300b58a6e42e8
EP081967__EP101980,S7,continuous,4.0,4.0,0.0,2.552017573771855,0.9722008102021098,True,output\paper_v1\hurricane_final_20\slots\27\attempts\final20_27_de706e57356c4f08ba62f91aba4abaa5,output\paper_v1\hurricane_final_20\slots\25\attempts\final20_25_66c8bad9489b41fab6327cf23c780263
EP081967__EP101980,S7,discrete,26.0,26.0,0.0,0.9722008102021098,0.9722008102021098,False,output\paper_v1\hurricane_final_20\slots\28\attempts\final20_28_8c2506e898e04b858825e283a3e44fdf,output\paper_v1\hurricane_final_20\slots\26\attempts\final20_26_30241021b400499a9710be07c88dddac
EP031994__EP031978,S8,continuous,6.0,6.0,0.0,1.645087491738802,0.9845741389072417,True,output\paper_v1\hurricane_final_20\slots\30\attempts\final20_30_475599a6b1d54bdd80bc1cff799f4c26,output\paper_v1\hurricane_final_20\slots\32\attempts\final20_32_d7629be544a04b7c9a22f439d333fc89
EP031994__EP031978,S8,discrete,33.0,33.0,0.0,0.9821951221778639,0.9821951221778639,False,output\paper_v1\hurricane_final_20\slots\31\attempts\final20_31_dc00c064cb1d4e339c7e15dbb6f227bb,output\paper_v1\hurricane_final_20\slots\29\attempts\final20_29_aa3ca4b72b8c4222901d54440e883ea9
EP021985__EP181984,S9,continuous,4.0,4.0,0.0,1.384750534169818,1.0,True,output\paper_v1\hurricane_final_20\slots\33\attempts\final20_33_2caf8d64c11043df8a23af6f3c211a35,output\paper_v1\hurricane_final_20\slots\35\attempts\final20_35_ebb9bf586aa24487a1f9d9f887ce4018
EP021985__EP181984,S9,discrete,41.0,41.0,0.0,1.0,1.0,False,output\paper_v1\hurricane_final_20\slots\34\attempts\final20_34_ea9ee483f1294ae3a828afeb3625747f,output\paper_v1\hurricane_final_20\slots\36\attempts\final20_36_4e04d78dd5974e99b6e05aa37ad0a368
AL101886__AL051950,S10,continuous,11.0,11.0,0.0,0.9713183556693334,0.9713183556693334,False,output\paper_v1\hurricane_final_20\slots\40\attempts\final20_40_4c2bf1aaa30540999f85ae007f04ef46,output\paper_v1\hurricane_final_20\slots\38\attempts\final20_38_58df75aaae554088a8460ccc5c84df2f
AL101886__AL051950,S10,discrete,28.0,28.0,0.0,1.0,1.0,False,output\paper_v1\hurricane_final_20\slots\37\attempts\final20_37_51b2e98e30d54d699e42eed27543c97a,output\paper_v1\hurricane_final_20\slots\39\attempts\final20_39_f320fc4065b8426997773f0f0db07068
