configuration_id,attempt_path,configuration_hash,input_hash_verified,code_hashes_verified,one_attempt,raw_saved_before_validation,raw_hash,validation_hash,status
protein:1o7j.a__1toh.a:a0.5|CPS-2F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\27\attempts\timing027_d65848d0c7744770b122ade1ff211840,ee8d782d0d6629b37bef791b050bbbfffc6d932ada58365a10f5991c8a79ba6c,True,True,True,True,dfa34f1f6ac0ec39c924730ce03b73af1e3ffeaa5092a0bf97ed845f9a1bc372,84e3e824f6682758a5b86e951c50b9327a7425a437952963277b1331e838d07d,validated
protein:1o7j.a__1toh.a:a0.5|CPS-3F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\28\attempts\timing028_0e17c5b4953949f9b36ff91551f58f2c,59db1227b5782965dfbc64f13bf219262e15ff856cd7670bcb5fd0a00358c72f,True,True,True,True,a377ec70c794c950b2bd9a097c229edb0b9c386e2af88d8619073e550cf23166,619c2a6a8b409512efd6e476b50495673a46d47b1a63d3ecee870e672d71a6a2,validated
hurricane:EP111954__EP021984:a0.5|Independent continuous|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\29\attempts\timing029_1c6aeb0885124fc8a8163ba726cc9654,0544b676330a70c1e8c6d6722cf3e70128294ac99c9007e09543a79f1b07d1e9,True,True,True,True,8d9594e4b7c40ce8936b9d52a357a43fa0ef2f875208cc6f1ed61bb5db31df74,7d88626d5961095ce60cb23a22bbe347eb27def39b9e84cba16f90ac8d54f46f,validated
hurricane:EP111954__EP021984:a0.5|Independent discrete|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\30\attempts\timing030_1f298cd4a6b3436686499b86a3c02b7e,2e6bdc2fa3592a67849c3f7488d8fae3e69d82b5c7dd72c97b0bc77923f96e21,True,True,True,True,4cdd3c3bda34ccf73ab7e10c70dc34da31e02305757ef93273b7608570659dbe,281b072580e493652346e969c83f7fa6c7277e84e8387ca3e36cf1b3f9f4be84,validated
hurricane:EP111954__EP021984:a0.5|CPS-2F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\31\attempts\timing031_079ba8843417470f8fe743b1d3a2698c,a330da60fee33f05f7aa07bc8cbcbc15f5777f720f9770e72879ded0fdf543f8,True,True,True,True,825c3e64c8193b396aeb19622af7698bb4f3feb3ddea2f4e5ff559a655e8fcf2,0e59d203cd2fed4e982d69e22b441db0c4450fa9dc198a082eb80e8b9644203b,validated
hurricane:EP111954__EP021984:a0.5|CPS-3F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\32\attempts\timing032_9a42a8b3f99f475f921f50e6d9ba0720,ff1c37d8d84679f80fc5b1aadb33f9f1e7029336f05f7c66b1aa45f2728ffe8f,True,True,True,True,db47bcd34cd7a125128eec9693792fc2cd3359ae73b75321c91694d62f4e1cb8,fb3c8a1efb9dd081c39cfcde92cf3445c66b6d2e0e09b9cd127511126981092d,validated
hurricane:AL072006__AL011900:a0.5|Independent continuous|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\33\attempts\timing033_3bd88b7684ea447fa4bde243ff029888,8d741b21cb9cccf299f33006d89e4c65a88ea8d814b8ff89f81c1a93be118921,True,True,True,True,04a557e97fb808769619c8bd610bd8ed770394787f957b9cb02257aeea75f73e,9d9a073b4789f10967c72c52db6fce934c5caf81756e9d0971f147d954ddd300,validated
hurricane:AL072006__AL011900:a0.5|Independent discrete|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\34\attempts\timing034_66cb683d5f2a485d91574028b085146c,7a73687139619eb988ef129b1a00defd58f14f982f6d68a324f3b1a16abb712e,True,True,True,True,d161c94bd0700502862b53e483d4abe601c33b94293dac915cef9ef5db189cb6,091eb4f18b09ce37613f8bc0b354928c41d69a40f12b2278fb2f4d36159d27df,validated
hurricane:AL072006__AL011900:a0.5|CPS-2F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\35\attempts\timing035_4e3d313efe354c4594ff17aac3ca3a54,bba870ae238f35dbca02cc16a8b7c2b89c5d7ddfcecd9565af162bfafd5bf40b,True,True,True,,,,transition_budget_limit
hurricane:AL072006__AL011900:a0.5|CPS-3F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\36\attempts\timing036_ea5b72750dc64eda966a8a6669a9d1e1,fa578e9fef73d9a9810305c7a43086380e2d4ce7c7c6d40b9f7e5ac5f0c28f88,True,True,True,True,03135983c0d82c6ffd2ae69d32c1e69e4f0b6087b396dc4ddbdea8e98d82b111,0c443f90068900f87f6e3bf597c1de7083ba828a123b998bce321a3338b03089,validated
